order_item_id,order_id,product_id,quantity,unit_price,discount,sales_amount
54,3982,573,5,488.47,0.27,1782.92
55,3287,237,1,1998.19,0.04,1918.26
56,8653,374,4,1546.0,0.15,5256.4
57,1053,43,4,1567.18,0.17,5203.04
58,2092,722,5,1165.92,0.1,5246.64
59,9263,110,4,816.02,0.15,2774.47
60,4064,762,1,1820.61,0.27,1329.05
61,8470,102,5,1848.69,0.19,7487.19
62,265,220,1,841.72,0.27,614.46
63,3790,931,4,1015.72,0.28,2925.27
64,3784,82,4,167.33,0.08,615.77
65,2043,337,1,183.01,0.04,175.69
66,3487,992,2,1327.15,0.29,1884.55
67,4631,881,5,1341.59,0.04,6439.63
68,3778,174,3,906.81,0.22,2121.94
69,3611,448,4,933.85,0.12,3287.15
70,1113,941,5,1791.01,0.16,7522.24
71,6531,218,4,1497.31,0.14,5150.75
72,9022,234,3,847.77,0.04,2441.58
73,9671,661,4,1704.23,0.06,6407.9
74,6135,365,3,1843.24,0.11,4921.45
75,51,678,3,1088.16,0.3,2285.14
76,694,637,5,261.64,0.02,1282.04
77,4992,493,4,312.58,0.19,1012.76
78,256,483,3,718.23,0.3,1508.28
79,8859,741,2,1292.17,0.13,2248.38
80,9484,416,4,1175.23,0.15,3995.78
81,5388,337,1,183.01,0.18,150.07
82,7657,526,1,1552.26,0.05,1474.65
83,5403,264,2,699.1,0.09,1272.36
84,8423,92,1,1986.61,0.03,1927.01
85,3057,451,5,1017.09,0.14,4373.49
86,5330,873,4,238.14,0.2,762.05
87,4606,177,2,197.09,0.1,354.76
88,3326,829,4,1581.74,0.01,6263.69
89,2287,544,1,838.29,0.14,720.93
90,2618,880,2,778.66,0.23,1199.14
91,6186,327,4,94.39,0.26,279.39
92,3757,317,2,1881.79,0.04,3613.04
93,1532,649,4,424.4,0.18,1392.03
94,4191,263,3,794.69,0.26,1764.21
95,847,470,5,1346.77,0.22,5252.4
96,146,119,3,453.49,0.1,1224.42
97,4987,552,3,1649.3,0.04,4749.98
98,3071,558,3,1944.13,0.17,4840.88
99,7809,829,3,1581.74,0.18,3891.08
100,2063,941,5,1791.01,0.28,6447.64
101,2604,349,4,364.25,0.1,1311.3
102,7460,208,1,465.35,0.22,362.97
103,5455,49,3,203.78,0.11,544.09
104,8789,355,5,1326.98,0.04,6369.5
105,5339,252,2,1311.87,0.01,2597.5
106,115,473,5,1798.32,0.11,8002.52
107,5587,683,1,1587.27,0.02,1555.52
108,1599,792,4,563.83,0.19,1826.81
109,4411,322,4,709.94,0.23,2186.62
110,2301,827,2,1319.64,0.28,1900.28
111,3790,85,4,475.32,0.16,1597.08
112,7179,487,3,1812.54,0.14,4676.35
113,1105,76,1,576.23,0.02,564.71
114,2521,199,5,983.2,0.1,4424.4
115,841,775,2,482.4,0.27,704.3
116,5913,296,3,399.41,0.2,958.58
117,5425,942,2,1902.75,0.2,3044.4
118,2333,816,5,1650.74,0.07,7675.94
119,6519,441,3,591.7,0.09,1615.34
120,4010,837,1,70.41,0.12,61.96
121,8042,23,1,1192.66,0.3,834.86
122,2658,624,4,1686.37,0.28,4856.75
123,8124,5,1,1742.09,0.02,1707.25
124,3323,476,5,1946.43,0.14,8369.65
125,5718,437,5,1703.38,0.11,7580.04
126,1343,625,4,1113.69,0.05,4232.02
127,1417,43,4,1567.18,0.22,4889.6
128,5573,388,2,176.9,0.01,350.26
129,290,611,2,1015.99,0.02,1991.34
130,4592,562,3,1216.99,0.06,3431.91
131,9240,763,1,1274.69,0.19,1032.5
132,6295,627,3,579.91,0.25,1304.8
133,8619,647,1,1458.42,0.14,1254.24
134,6563,725,4,693.19,0.07,2578.67
135,3205,275,4,164.15,0.13,571.24
136,5962,633,2,845.03,0.05,1605.56
137,1294,854,3,1436.23,0.06,4050.17
138,8827,298,5,1453.25,0.08,6684.95
139,6649,674,1,1052.83,0.27,768.57
140,1965,412,3,583.21,0.08,1609.66
141,5563,677,4,1833.05,0.21,5792.44
142,1265,901,3,1087.7,0.11,2904.16
143,5817,50,4,151.71,0.12,534.02
144,3548,792,4,563.83,0.1,2029.79
145,8208,790,4,1657.66,0.28,4774.06
146,5708,825,2,870.74,0.19,1410.6
147,4804,210,5,370.3,0.03,1795.95
148,7687,416,2,1175.23,0.21,1856.86
149,5409,749,3,1776.97,0.05,5064.36
150,9594,377,2,1432.75,0.01,2836.84
151,5716,158,2,971.3,0.01,1923.17
152,8782,944,2,1526.21,0.09,2777.7
153,5000,816,3,1650.74,0.28,3565.6
154,8083,463,2,45.13,0.24,68.6
155,6610,134,3,1141.08,0.13,2978.22
156,7232,308,5,1379.32,0.28,4965.55
157,7812,359,4,1881.9,0.2,6022.08
158,4928,473,1,1798.32,0.02,1762.35
159,886,402,3,735.51,0.15,1875.55
160,1930,649,1,424.4,0.28,305.57
161,9101,836,4,1623.39,0.17,5389.65
162,1373,65,2,1229.85,0.11,2189.13
163,6948,532,2,595.61,0.19,964.89
164,635,420,2,1767.12,0.26,2615.34
165,5931,988,4,1708.69,0.07,6356.33
166,9394,452,4,740.92,0.28,2133.85
167,7689,822,3,1374.74,0.05,3918.01
168,6996,8,5,1355.73,0.27,4948.41
169,2344,545,3,1300.22,0.22,3042.51
170,7547,854,3,1436.23,0.19,3490.04
171,4548,495,2,1288.72,0.27,1881.53
172,5510,142,3,1580.13,0.02,4645.58
173,6496,8,5,1355.73,0.02,6643.08
174,4078,518,5,1348.87,0.19,5462.92
175,42,367,4,290.88,0.13,1012.26
176,8293,309,5,1664.41,0.25,6241.54
177,1026,705,4,1077.42,0.2,3447.74
178,6623,120,1,381.23,0.06,358.36
179,8694,163,1,1696.07,0.05,1611.27
180,1858,329,1,889.45,0.28,640.4
181,531,527,4,1218.53,0.27,3558.11
182,3472,117,3,1476.26,0.1,3985.9
183,4240,689,2,1256.21,0.08,2311.43
184,7656,439,4,669.41,0.14,2302.77
185,3528,342,5,139.33,0.15,592.15
186,9632,379,1,156.41,0.22,122.0
187,6515,999,2,994.89,0.13,1731.11
188,2241,498,4,1915.03,0.18,6281.3
189,7555,951,2,1472.67,0.09,2680.26
190,5740,640,4,493.74,0.27,1441.72
191,2834,231,3,911.09,0.13,2377.94
192,261,913,4,1607.81,0.03,6238.3
193,5547,997,1,531.86,0.12,468.04
194,9349,617,1,150.43,0.22,117.34
195,7598,338,3,326.37,0.14,842.03
196,987,799,3,1918.24,0.02,5639.63
197,2213,350,3,379.53,0.16,956.42
198,7906,926,3,1227.11,0.05,3497.26
199,6425,972,5,851.11,0.19,3447.0
200,4534,231,1,911.09,0.12,801.76
201,4436,580,5,217.07,0.21,857.43
202,7107,155,3,706.95,0.26,1569.43
203,44,58,3,670.75,0.14,1730.54
204,6092,972,1,851.11,0.22,663.87
205,4984,792,5,563.83,0.1,2537.24
206,2573,645,5,467.61,0.02,2291.29
207,549,306,5,659.21,0.28,2373.16
208,7671,619,1,451.88,0.25,338.91
209,1294,893,5,274.6,0.13,1194.51
210,9394,574,5,127.69,0.02,625.68
211,3633,952,5,1617.73,0.27,5904.71
212,4740,24,3,195.36,0.05,556.78
213,4981,480,5,955.54,0.26,3535.5
214,3648,304,4,545.21,0.15,1853.71
215,5024,950,4,1892.85,0.23,5829.98
216,5011,542,5,1767.67,0.29,6275.23
217,6050,554,4,452.5,0.29,1285.1
218,382,165,1,1750.23,0.01,1732.73
219,1736,797,4,191.3,0.15,650.42
220,2470,577,4,1534.68,0.28,4419.88
221,2103,138,1,1957.5,0.22,1526.85
222,2720,517,4,964.84,0.21,3048.89
223,6485,814,2,924.34,0.24,1405.0
224,878,351,1,1457.52,0.25,1093.14
225,2547,523,2,288.02,0.03,558.76
226,2533,883,4,1829.59,0.22,5708.32
227,6275,825,3,870.74,0.03,2533.85
228,9838,63,5,1845.39,0.29,6551.13
229,5867,132,1,557.58,0.11,496.25
230,3655,710,2,61.32,0.17,101.79
231,8847,539,3,1373.8,0.24,3132.26
232,1539,450,2,797.36,0.26,1180.09
233,9695,643,2,1164.6,0.21,1840.07
234,8051,500,1,1474.46,0.25,1105.85
235,9367,873,3,238.14,0.24,542.96
236,4628,461,3,1992.71,0.26,4423.82
237,4116,743,5,959.64,0.09,4366.36
238,6775,799,4,1918.24,0.24,5831.45
239,533,978,5,25.53,0.3,89.36
240,7531,519,2,1856.1,0.04,3563.71
241,8088,312,2,623.05,0.02,1221.18
242,8001,407,4,103.28,0.12,363.55
243,1026,215,2,519.23,0.06,976.15
244,5788,914,2,358.78,0.14,617.1
245,5249,929,4,1727.25,0.15,5872.65
246,6726,783,5,591.35,0.2,2365.4
247,7042,876,4,1756.83,0.08,6465.13
248,5518,324,1,1109.82,0.13,965.54
249,5489,943,1,132.49,0.11,117.92
250,4500,643,4,1164.6,0.03,4518.65
251,3132,998,2,148.87,0.25,223.31
252,4947,91,2,922.95,0.13,1605.93
253,9058,923,5,1096.68,0.01,5428.57
254,6701,901,3,1087.7,0.04,3132.58
255,7357,790,4,1657.66,0.04,6365.41
256,9186,856,4,1570.0,0.13,5463.6
257,1113,788,2,1622.92,0.05,3083.55
258,4044,987,1,1911.49,0.26,1414.5
259,5771,638,4,766.06,0.11,2727.17
260,3890,878,5,114.39,0.17,474.72
261,3215,890,4,1677.31,0.22,5233.21
262,9102,6,2,889.31,0.03,1725.26
263,9420,91,2,922.95,0.19,1495.18
264,4683,498,5,1915.03,0.06,9000.64
265,6251,416,1,1175.23,0.3,822.66
266,3243,431,5,1434.43,0.07,6670.1
267,6937,728,4,1248.54,0.1,4494.74
268,8373,465,4,1563.52,0.12,5503.59
269,8670,931,5,1015.72,0.0,5078.6
270,3527,1,2,1968.79,0.25,2953.18
271,6615,52,1,1815.2,0.24,1379.55
272,8016,224,3,568.92,0.02,1672.62
273,4760,784,2,1650.22,0.3,2310.31
274,8335,77,5,1315.7,0.06,6183.79
275,1748,779,5,558.83,0.28,2011.79
276,8269,774,3,1479.86,0.23,3418.48
277,555,898,5,948.76,0.21,3747.6
278,4452,836,3,1623.39,0.12,4285.75
279,3022,636,4,354.89,0.01,1405.36
280,8432,924,5,657.41,0.25,2465.29
281,3401,526,5,1552.26,0.19,6286.65
282,997,999,1,994.89,0.12,875.5
283,5903,517,4,964.84,0.09,3512.02
284,6782,772,5,730.02,0.12,3212.09
285,5138,706,4,1608.51,0.3,4503.83
286,3434,635,2,1709.91,0.15,2906.85
287,4516,346,1,837.81,0.24,636.74
288,7462,821,5,726.68,0.08,3342.73
289,6716,268,5,1411.3,0.18,5786.33
290,8340,588,4,314.4,0.07,1169.57
291,9432,321,5,1866.68,0.23,7186.72
292,6773,253,5,415.61,0.23,1600.1
293,5434,891,3,100.69,0.09,274.88
294,2209,13,2,484.7,0.04,930.62
295,7901,381,2,843.26,0.11,1501.0
296,3454,930,4,1610.97,0.22,5026.23
297,926,675,3,1225.6,0.1,3309.12
298,7785,375,2,542.78,0.3,759.89
299,5368,123,3,1121.22,0.24,2556.38
300,4203,696,3,1098.41,0.12,2899.8
301,8959,718,1,1664.28,0.25,1248.21
302,8194,252,2,1311.87,0.02,2571.27
303,6482,151,1,1911.29,0.14,1643.71
304,2028,429,2,430.07,0.22,670.91
305,6400,563,2,760.91,0.05,1445.73
306,4976,956,3,1648.42,0.11,4401.28
307,7403,785,4,227.88,0.26,674.52
308,9616,684,1,760.04,0.07,706.84
309,9,417,5,1583.31,0.14,6808.23
310,5752,948,2,53.61,0.15,91.14
311,5280,71,2,466.78,0.01,924.22
312,9543,397,5,1606.38,0.21,6345.2
313,7292,260,4,630.87,0.27,1842.14
314,70,178,4,695.29,0.27,2030.25
315,7156,13,3,484.7,0.07,1352.31
316,482,563,5,760.91,0.05,3614.32
317,2488,607,3,1751.73,0.06,4939.88
318,9056,675,3,1225.6,0.2,2941.44
319,3423,738,4,335.08,0.06,1259.9
320,5837,448,4,933.85,0.12,3287.15
321,9012,822,4,1374.74,0.02,5388.98
322,209,120,5,381.23,0.02,1868.03
323,4700,743,1,959.64,0.1,863.68
324,3724,958,3,367.59,0.15,937.35
325,5217,305,5,1443.73,0.2,5774.92
326,7474,10,2,1585.04,0.24,2409.26
327,688,751,2,103.81,0.29,147.41
328,6428,929,2,1727.25,0.16,2901.78
329,9727,455,4,969.24,0.13,3372.96
330,6847,53,5,1687.32,0.13,7339.84
331,2241,237,3,1998.19,0.28,4316.09
332,5424,331,4,606.98,0.02,2379.36
333,4540,499,3,1725.31,0.09,4710.1
334,9668,905,4,1332.79,0.26,3945.06
335,1255,972,3,851.11,0.14,2195.86
336,2358,641,4,710.23,0.13,2471.6
337,4063,606,3,640.35,0.07,1786.58
338,9027,113,5,1029.91,0.22,4016.65
339,5700,856,1,1570.0,0.17,1303.1
340,5150,578,1,1694.17,0.22,1321.45
341,7236,678,3,1088.16,0.1,2938.03
342,2530,373,5,1987.38,0.06,9340.69
343,910,657,4,1729.94,0.13,6020.19
344,6493,590,1,147.58,0.24,112.16
345,988,330,5,1233.5,0.06,5797.45
346,7140,733,3,1258.35,0.24,2869.04
347,760,362,2,1024.52,0.05,1946.59
348,639,272,3,332.47,0.2,797.93
349,9016,987,2,1911.49,0.12,3364.22
350,192,244,5,1402.31,0.15,5959.82
351,3300,780,3,1196.43,0.29,2548.4
352,4827,500,1,1474.46,0.26,1091.1
353,3693,250,3,1471.11,0.07,4104.4
354,4488,678,5,1088.16,0.11,4842.31
355,9967,987,1,1911.49,0.15,1624.77
356,9773,712,4,56.33,0.28,162.23
357,7353,139,4,1121.38,0.06,4216.39
358,7167,581,5,1928.98,0.19,7812.37
359,3172,158,1,971.3,0.21,767.33
360,6211,374,5,1546.0,0.28,5565.6
361,6514,762,2,1820.61,0.21,2876.56
362,8485,760,2,1493.6,0.2,2389.76
363,8318,371,4,1509.78,0.28,4348.17
364,5366,184,4,520.25,0.03,2018.57
365,1436,557,1,1408.85,0.26,1042.55
366,1033,382,4,284.44,0.18,932.96
367,1368,704,3,1730.49,0.06,4879.98
368,7136,350,3,379.53,0.26,842.56
369,6933,68,1,877.58,0.27,640.63
370,8906,836,5,1623.39,0.28,5844.2
371,9583,166,1,419.91,0.15,356.92
372,8543,435,5,1656.34,0.22,6459.73
373,4934,479,4,463.45,0.17,1538.65
374,5085,397,5,1606.38,0.1,7228.71
375,1789,265,5,1395.9,0.12,6141.96
376,7001,544,2,838.29,0.19,1358.03
377,10000,427,4,600.06,0.15,2040.2
378,8435,835,2,625.34,0.24,950.52
379,8734,619,4,451.88,0.11,1608.69
380,5906,310,5,947.46,0.05,4500.44
381,5553,174,1,906.81,0.14,779.86
382,7256,992,1,1327.15,0.19,1074.99
383,9315,472,3,1556.61,0.25,3502.37
384,4611,989,5,14.64,0.25,54.9
385,299,734,2,1328.37,0.15,2258.23
386,2260,907,4,423.98,0.21,1339.78
387,6675,930,5,1610.97,0.18,6604.98
388,5075,322,1,709.94,0.26,525.36
389,8411,836,2,1623.39,0.12,2857.17
390,5078,891,3,100.69,0.21,238.64
391,3479,366,3,1684.64,0.19,4093.68
392,5825,719,4,251.55,0.15,855.27
393,4560,309,2,1664.41,0.06,3129.09
394,6665,570,3,1776.05,0.21,4209.24
395,1536,716,4,1955.6,0.02,7665.95
396,7917,828,1,319.56,0.23,246.06
397,6506,743,3,959.64,0.0,2878.92
398,9300,657,2,1729.94,0.2,2767.9
399,4087,734,2,1328.37,0.3,1859.72
400,5518,916,1,1805.92,0.22,1408.62
401,2318,78,2,342.41,0.24,520.46
402,4689,50,3,151.71,0.12,400.51
403,6718,750,1,592.73,0.07,551.24
404,2895,266,5,1024.47,0.08,4712.56
405,2797,425,3,1543.64,0.1,4167.83
406,3002,737,2,196.92,0.08,362.33
407,95,215,3,519.23,0.18,1277.31
408,8667,649,1,424.4,0.1,381.96
409,8233,264,4,699.1,0.13,2432.87
410,5671,90,2,1987.37,0.27,2901.56
411,2776,860,2,1619.04,0.05,3076.18
412,2725,520,3,1449.82,0.07,4045.0
413,9435,903,2,1568.94,0.02,3075.12
414,2910,181,5,1280.45,0.15,5441.91
415,1526,708,4,25.27,0.18,82.89
416,3491,774,2,1479.86,0.06,2782.14
417,3722,526,3,1552.26,0.07,4330.81
418,7293,434,3,1197.7,0.21,2838.55
419,2112,620,1,41.4,0.01,40.99
420,3134,308,3,1379.32,0.25,3103.47
421,6214,13,5,484.7,0.12,2132.68
422,1521,949,5,1106.62,0.16,4647.8
423,8991,58,5,670.75,0.29,2381.16
424,7237,356,5,1166.19,0.1,5247.86
425,8568,884,2,1335.27,0.25,2002.9
426,4844,309,5,1664.41,0.13,7240.18
427,9197,773,3,1175.75,0.25,2645.44
428,2418,681,5,825.11,0.16,3465.46
429,2072,310,5,947.46,0.17,3931.96
430,1525,423,1,1725.18,0.05,1638.92
431,4011,221,3,1052.8,0.25,2368.8
432,925,754,3,1092.12,0.01,3243.6
433,4458,257,1,330.71,0.25,248.03
434,7748,229,3,596.57,0.05,1700.22
435,8933,967,1,1677.71,0.22,1308.61
436,6544,994,3,1309.92,0.21,3104.51
437,4955,505,3,1696.05,0.03,4935.51
438,6389,217,3,1385.39,0.19,3366.5
439,6629,115,1,1747.45,0.16,1467.86
440,5478,915,5,1480.72,0.25,5552.7
441,2223,841,4,1782.44,0.02,6987.16
442,1957,731,4,161.32,0.1,580.75
443,7544,260,4,630.87,0.13,2195.43
444,4660,153,4,33.17,0.29,94.2
445,3945,239,5,255.63,0.28,920.27
446,1772,419,1,779.81,0.15,662.84
447,9023,447,3,1043.14,0.22,2440.95
448,2873,974,1,1425.22,0.15,1211.44
449,9850,930,4,1610.97,0.25,4832.91
450,2352,690,4,59.8,0.23,184.18
451,6833,998,5,148.87,0.14,640.14
452,3269,466,3,58.04,0.2,139.3
453,6806,837,5,70.41,0.08,323.89
454,252,884,2,1335.27,0.3,1869.38
455,1466,927,3,998.21,0.1,2695.17
456,5838,733,5,1258.35,0.04,6040.08
457,2222,694,4,1718.46,0.16,5774.03
458,7630,609,3,488.56,0.26,1084.6
459,7688,808,2,1427.57,0.18,2341.21
460,7423,671,1,19.21,0.28,13.83
461,5781,431,4,1434.43,0.1,5163.95
462,2033,58,5,670.75,0.11,2984.84
463,4527,787,5,625.15,0.09,2844.43
464,9376,141,5,1989.63,0.14,8555.41
465,5446,531,1,978.55,0.29,694.77
466,392,9,3,1174.74,0.05,3348.01
467,9409,922,2,993.35,0.27,1450.29
468,3744,241,1,1463.85,0.02,1434.57
469,9980,223,5,1824.3,0.14,7844.49
470,7285,632,2,1298.17,0.08,2388.63
471,1879,264,4,699.1,0.19,2265.08
472,970,171,5,1297.9,0.01,6424.6
473,9598,270,1,1857.41,0.02,1820.26
474,6700,808,4,1427.57,0.17,4739.53
475,631,61,3,1096.66,0.28,2368.79
476,7430,885,1,52.59,0.09,47.86
477,2990,681,1,825.11,0.26,610.58
478,6328,961,1,1813.48,0.12,1595.86
479,5598,357,2,49.82,0.29,70.74
480,7262,373,3,1987.38,0.28,4292.74
481,6657,343,3,1826.91,0.25,4110.55
482,119,58,2,670.75,0.04,1287.84
483,3353,524,5,639.67,0.11,2846.53
484,9816,829,1,1581.74,0.0,1581.74
485,8851,280,3,1422.7,0.1,3841.29
486,7595,253,2,415.61,0.08,764.72
487,9496,270,3,1857.41,0.01,5516.51
488,7700,827,5,1319.64,0.26,4882.67
489,584,799,2,1918.24,0.02,3759.75
490,1223,753,2,1625.73,0.18,2666.2
491,7589,821,5,726.68,0.26,2688.72
492,567,562,2,1216.99,0.2,1947.18
493,8867,708,3,25.27,0.21,59.89
494,6730,702,4,1203.05,0.01,4764.08
495,443,14,5,123.7,0.19,500.99
496,5201,431,1,1434.43,0.29,1018.45
497,5363,364,2,349.73,0.18,573.56
498,1068,351,3,1457.52,0.11,3891.58
499,7644,593,3,1442.7,0.08,3981.85
500,4669,616,1,1045.35,0.3,731.74
501,6879,287,1,757.7,0.24,575.85
502,8659,208,3,465.35,0.16,1172.68
503,8283,894,1,363.74,0.13,316.45
504,4626,603,2,456.58,0.15,776.19
505,5547,902,2,1568.47,0.18,2572.29
506,163,244,2,1402.31,0.1,2524.16
507,9143,442,3,1403.31,0.2,3367.94
508,290,875,4,1690.39,0.23,5206.4
509,7595,847,5,809.63,0.27,2955.15
510,1374,793,2,1687.12,0.08,3104.3
511,7206,877,2,1126.89,0.18,1848.1
512,2756,751,5,103.81,0.12,456.76
513,2469,402,3,735.51,0.27,1610.77
514,6366,30,4,850.05,0.22,2652.16
515,9518,762,3,1820.61,0.25,4096.37
516,576,919,5,564.99,0.19,2288.21
517,3224,392,1,1268.28,0.01,1255.6
518,3903,95,4,1422.15,0.04,5461.06
519,1128,77,5,1315.7,0.21,5197.02
520,8310,596,4,1744.38,0.28,5023.81
521,2821,83,3,497.06,0.25,1118.38
522,583,318,5,1739.99,0.25,6524.96
523,2818,383,4,1379.79,0.25,4139.37
524,7090,269,2,343.55,0.01,680.23
525,1826,29,2,992.22,0.04,1905.06
526,3382,30,5,850.05,0.15,3612.71
527,7635,930,4,1610.97,0.02,6315.0
528,2630,10,3,1585.04,0.24,3613.89
529,8162,334,4,1551.72,0.29,4406.88
530,5559,759,5,1795.2,0.07,8347.68
531,4784,535,3,676.4,0.23,1562.48
532,830,33,2,1890.48,0.14,3251.63
533,3308,526,4,1552.26,0.09,5650.23
534,8593,539,4,1373.8,0.27,4011.5
535,6199,664,5,57.61,0.15,244.84
536,9585,492,1,1980.35,0.11,1762.51
537,7724,130,2,1260.88,0.23,1941.76
538,2364,755,2,764.69,0.07,1422.32
539,8131,959,1,1296.12,0.09,1179.47
540,1574,860,5,1619.04,0.04,7771.39
541,8889,469,2,1048.71,0.02,2055.47
542,2707,210,1,370.3,0.19,299.94
543,5976,155,5,706.95,0.19,2863.15
544,6116,519,3,1856.1,0.27,4064.86
545,2011,486,5,1989.83,0.1,8954.24
546,3994,906,2,1266.28,0.09,2304.63
547,2445,707,2,504.57,0.24,766.95
548,767,76,4,576.23,0.05,2189.67
549,166,170,2,1271.6,0.2,2034.56
550,7243,908,1,348.36,0.04,334.43
551,3818,631,5,221.71,0.18,909.01
552,2034,476,2,1946.43,0.17,3231.07
553,6734,277,4,1744.63,0.13,6071.31
554,4186,278,5,1710.22,0.25,6413.33
555,8201,562,2,1216.99,0.24,1849.82
556,9214,422,5,1831.21,0.02,8972.93
557,2545,820,4,1592.7,0.23,4905.52
558,4146,587,5,959.28,0.07,4460.65
559,9146,278,1,1710.22,0.26,1265.56
560,904,430,2,887.56,0.08,1633.11
561,2976,65,3,1229.85,0.21,2914.74
562,8263,451,5,1017.09,0.04,4882.03
563,1084,242,5,1225.48,0.19,4963.19
564,8593,62,4,34.23,0.28,98.58
565,2986,990,2,352.5,0.19,571.05
566,3557,683,5,1587.27,0.03,7698.26
567,8690,889,1,681.53,0.08,627.01
568,7690,158,3,971.3,0.17,2418.54
569,5457,181,2,1280.45,0.1,2304.81
570,4119,984,1,1693.29,0.2,1354.63
571,5217,501,2,438.07,0.23,674.63
572,3899,160,2,125.72,0.01,248.93
573,2362,968,1,857.49,0.1,771.74
574,1488,365,5,1843.24,0.14,7925.93
575,5228,178,3,695.29,0.21,1647.84
576,593,145,5,158.52,0.12,697.49
577,1008,569,4,1552.6,0.17,5154.63
578,804,752,5,368.44,0.19,1492.18
579,9651,291,4,1924.22,0.13,6696.29
580,4312,200,3,1686.83,0.24,3845.97
581,2724,643,1,1164.6,0.1,1048.14
582,5438,263,4,794.69,0.24,2415.86
583,9809,578,3,1694.17,0.02,4980.86
584,7387,259,1,392.37,0.13,341.36
585,9591,757,5,444.96,0.09,2024.57
586,4842,946,2,1810.38,0.27,2643.15
587,6897,71,2,466.78,0.22,728.18
588,6498,703,4,705.15,0.26,2087.24
589,7242,333,1,1996.78,0.15,1697.26
590,6614,458,1,329.7,0.08,303.32
591,9246,56,5,1881.6,0.28,6773.76
592,732,147,3,1168.34,0.03,3399.87
593,3417,978,4,25.53,0.06,95.99
594,9039,786,5,1824.44,0.11,8118.76
595,9533,664,5,57.61,0.28,207.4
596,3920,993,5,1400.41,0.2,5601.64
597,1036,23,1,1192.66,0.28,858.72
598,3699,174,2,906.81,0.11,1614.12
599,5349,5,2,1742.09,0.3,2438.93
600,7523,218,1,1497.31,0.12,1317.63
601,9726,885,4,52.59,0.12,185.12
602,3588,2,3,895.82,0.06,2526.21
603,5258,747,2,367.54,0.23,566.01
604,1203,347,2,889.72,0.27,1298.99
605,9422,314,5,1595.02,0.01,7895.35
606,6677,400,5,1087.07,0.04,5217.94
607,3294,276,5,1422.19,0.25,5333.21
608,462,626,5,1057.74,0.29,3754.98
609,9423,840,5,1819.78,0.09,8280.0
610,210,590,1,147.58,0.11,131.35
611,6791,247,1,1278.5,0.29,907.73
612,7873,377,3,1432.75,0.14,3696.49
613,3948,237,4,1998.19,0.04,7673.05
614,1711,959,1,1296.12,0.29,920.25
615,4854,291,4,1924.22,0.07,7158.1
616,2003,221,1,1052.8,0.22,821.18
617,499,952,1,1617.73,0.25,1213.3
618,3246,925,5,576.8,0.02,2826.32
619,1039,326,5,1842.18,0.25,6908.17
620,7407,331,2,606.98,0.16,1019.73
621,2924,848,3,1936.93,0.28,4183.77
622,6235,298,2,1453.25,0.08,2673.98
623,734,290,4,101.67,0.08,374.15
624,7442,831,3,1871.36,0.04,5389.52
625,6757,556,4,660.41,0.21,2086.9
626,1831,68,5,877.58,0.08,4036.87
627,3617,263,3,794.69,0.19,1931.1
