inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
98,5,18,43,80,2026-01-01
99,5,19,379,23,2026-01-01
100,5,20,362,98,2026-01-01
101,6,1,474,58,2026-01-01
102,6,2,115,46,2026-01-01
103,6,3,324,60,2026-01-01
104,6,4,74,53,2026-01-01
105,6,5,119,40,2026-01-01
106,6,6,218,30,2026-01-01
107,6,7,488,60,2026-01-01
108,6,8,127,77,2026-01-01
109,6,9,275,33,2026-01-01
110,6,10,269,30,2026-01-01
111,6,11,58,47,2026-01-01
112,6,12,61,41,2026-01-01
113,6,13,228,85,2026-01-01
114,6,14,21,20,2026-01-01
115,6,15,68,37,2026-01-01
116,6,16,464,43,2026-01-01
117,6,17,301,21,2026-01-01
118,6,18,290,57,2026-01-01
119,6,19,435,44,2026-01-01
120,6,20,338,44,2026-01-01
121,7,1,407,70,2026-01-01
122,7,2,154,35,2026-01-01
123,7,3,176,75,2026-01-01
124,7,4,483,23,2026-01-01
125,7,5,51,97,2026-01-01
126,7,6,147,32,2026-01-01
127,7,7,275,26,2026-01-01
128,7,8,269,90,2026-01-01
129,7,9,174,57,2026-01-01
130,7,10,54,49,2026-01-01
131,7,11,231,77,2026-01-01
132,7,12,74,29,2026-01-01
133,7,13,251,43,2026-01-01
134,7,14,81,91,2026-01-01
135,7,15,419,71,2026-01-01
136,7,16,344,59,2026-01-01
137,7,17,304,77,2026-01-01
138,7,18,457,41,2026-01-01
139,7,19,326,78,2026-01-01
140,7,20,148,82,2026-01-01
141,8,1,314,39,2026-01-01
142,8,2,90,74,2026-01-01
143,8,3,355,94,2026-01-01
144,8,4,198,67,2026-01-01
145,8,5,209,61,2026-01-01
146,8,6,294,94,2026-01-01
147,8,7,226,45,2026-01-01
148,8,8,446,77,2026-01-01
149,8,9,390,47,2026-01-01
150,8,10,219,30,2026-01-01
151,8,11,54,24,2026-01-01
152,8,12,247,69,2026-01-01
153,8,13,98,83,2026-01-01
154,8,14,138,31,2026-01-01
155,8,15,439,92,2026-01-01
156,8,16,349,61,2026-01-01
157,8,17,178,38,2026-01-01
158,8,18,306,54,2026-01-01
159,8,19,66,62,2026-01-01
160,8,20,47,70,2026-01-01
161,9,1,97,53,2026-01-01
162,9,2,123,55,2026-01-01
163,9,3,303,91,2026-01-01
164,9,4,10,55,2026-01-01
165,9,5,404,70,2026-01-01
166,9,6,321,38,2026-01-01
167,9,7,13,38,2026-01-01
168,9,8,271,99,2026-01-01
169,9,9,102,96,2026-01-01
170,9,10,488,67,2026-01-01
171,9,11,236,75,2026-01-01
172,9,12,160,56,2026-01-01
173,9,13,129,98,2026-01-01
174,9,14,365,96,2026-01-01
175,9,15,424,43,2026-01-01
176,9,16,467,69,2026-01-01
177,9,17,130,43,2026-01-01
178,9,18,329,21,2026-01-01
179,9,19,136,24,2026-01-01
180,9,20,346,47,2026-01-01
181,10,1,458,29,2026-01-01
182,10,2,484,66,2026-01-01
183,10,3,333,29,2026-01-01
184,10,4,498,49,2026-01-01
185,10,5,100,50,2026-01-01
186,10,6,373,99,2026-01-01
187,10,7,244,98,2026-01-01
188,10,8,63,96,2026-01-01
189,10,9,21,80,2026-01-01
190,10,10,97,40,2026-01-01
191,10,11,498,70,2026-01-01
192,10,12,487,35,2026-01-01
193,10,13,178,67,2026-01-01
194,10,14,232,75,2026-01-01
195,10,15,208,83,2026-01-01
196,10,16,82,54,2026-01-01
197,10,17,319,21,2026-01-01
198,10,18,327,75,2026-01-01
199,10,19,117,62,2026-01-01
200,10,20,268,73,2026-01-01
201,11,1,172,52,2026-01-01
202,11,2,18,39,2026-01-01
203,11,3,476,73,2026-01-01
204,11,4,129,77,2026-01-01
205,11,5,454,63,2026-01-01
206,11,6,253,91,2026-01-01
207,11,7,216,44,2026-01-01
208,11,8,292,39,2026-01-01
209,11,9,465,59,2026-01-01
210,11,10,242,53,2026-01-01
211,11,11,68,45,2026-01-01
212,11,12,348,87,2026-01-01
213,11,13,113,53,2026-01-01
214,11,14,470,86,2026-01-01
215,11,15,384,74,2026-01-01
216,11,16,133,86,2026-01-01
217,11,17,59,71,2026-01-01
218,11,18,477,62,2026-01-01
219,11,19,236,42,2026-01-01
220,11,20,450,78,2026-01-01
221,12,1,34,56,2026-01-01
222,12,2,159,63,2026-01-01
223,12,3,143,53,2026-01-01
224,12,4,417,51,2026-01-01
225,12,5,247,84,2026-01-01
226,12,6,9,86,2026-01-01
227,12,7,32,99,2026-01-01
228,12,8,480,57,2026-01-01
229,12,9,161,37,2026-01-01
230,12,10,167,35,2026-01-01
231,12,11,163,37,2026-01-01
232,12,12,273,98,2026-01-01
233,12,13,102,60,2026-01-01
234,12,14,85,80,2026-01-01
235,12,15,193,78,2026-01-01
236,12,16,343,29,2026-01-01
237,12,17,134,54,2026-01-01
238,12,18,424,57,2026-01-01
239,12,19,263,50,2026-01-01
240,12,20,79,23,2026-01-01
241,13,1,400,27,2026-01-01
242,13,2,62,62,2026-01-01
243,13,3,340,36,2026-01-01
244,13,4,139,45,2026-01-01
245,13,5,139,35,2026-01-01
246,13,6,68,69,2026-01-01
247,13,7,469,53,2026-01-01
248,13,8,210,91,2026-01-01
249,13,9,125,69,2026-01-01
250,13,10,205,69,2026-01-01
251,13,11,91,54,2026-01-01
252,13,12,428,64,2026-01-01
253,13,13,437,59,2026-01-01
254,13,14,1,23,2026-01-01
255,13,15,41,32,2026-01-01
256,13,16,79,54,2026-01-01
257,13,17,435,57,2026-01-01
258,13,18,428,90,2026-01-01
259,13,19,332,47,2026-01-01
260,13,20,117,91,2026-01-01
261,14,1,487,34,2026-01-01
262,14,2,239,22,2026-01-01
263,14,3,424,41,2026-01-01
264,14,4,484,68,2026-01-01
265,14,5,331,43,2026-01-01
266,14,6,377,21,2026-01-01
267,14,7,244,39,2026-01-01
268,14,8,421,77,2026-01-01
269,14,9,37,55,2026-01-01
270,14,10,12,55,2026-01-01
271,14,11,182,58,2026-01-01
272,14,12,408,81,2026-01-01
273,14,13,405,95,2026-01-01
274,14,14,482,78,2026-01-01
275,14,15,442,98,2026-01-01
276,14,16,214,43,2026-01-01
277,14,17,467,95,2026-01-01
278,14,18,397,59,2026-01-01
279,14,19,499,32,2026-01-01
280,14,20,164,31,2026-01-01
281,15,1,20,58,2026-01-01
282,15,2,341,26,2026-01-01
283,15,3,407,32,2026-01-01
284,15,4,322,84,2026-01-01
285,15,5,122,24,2026-01-01
286,15,6,149,53,2026-01-01
287,15,7,35,40,2026-01-01
288,15,8,386,55,2026-01-01
289,15,9,363,62,2026-01-01
290,15,10,140,50,2026-01-01
291,15,11,135,22,2026-01-01
292,15,12,372,55,2026-01-01
293,15,13,420,28,2026-01-01
294,15,14,8,40,2026-01-01
295,15,15,44,62,2026-01-01
296,15,16,295,37,2026-01-01
297,15,17,487,37,2026-01-01
298,15,18,184,25,2026-01-01
299,15,19,134,44,2026-01-01
300,15,20,289,48,2026-01-01
301,16,1,119,39,2026-01-01
302,16,2,123,76,2026-01-01
303,16,3,320,96,2026-01-01
304,16,4,350,73,2026-01-01
305,16,5,436,36,2026-01-01
306,16,6,89,27,2026-01-01
307,16,7,305,22,2026-01-01
308,16,8,452,74,2026-01-01
309,16,9,85,31,2026-01-01
310,16,10,287,31,2026-01-01
311,16,11,423,96,2026-01-01
312,16,12,237,71,2026-01-01
313,16,13,19,30,2026-01-01
314,16,14,137,37,2026-01-01
315,16,15,460,75,2026-01-01
316,16,16,400,95,2026-01-01
317,16,17,110,97,2026-01-01
318,16,18,234,33,2026-01-01
319,16,19,488,40,2026-01-01
320,16,20,214,37,2026-01-01
321,17,1,445,49,2026-01-01
322,17,2,63,33,2026-01-01
323,17,3,346,49,2026-01-01
324,17,4,24,74,2026-01-01
325,17,5,60,99,2026-01-01
326,17,6,119,97,2026-01-01
327,17,7,6,50,2026-01-01
328,17,8,118,82,2026-01-01
329,17,9,340,84,2026-01-01
330,17,10,272,71,2026-01-01
331,17,11,149,24,2026-01-01
332,17,12,275,70,2026-01-01
333,17,13,130,100,2026-01-01
334,17,14,297,54,2026-01-01
335,17,15,265,80,2026-01-01
336,17,16,372,53,2026-01-01
337,17,17,22,74,2026-01-01
338,17,18,119,68,2026-01-01
339,17,19,80,44,2026-01-01
340,17,20,403,78,2026-01-01
341,18,1,391,70,2026-01-01
342,18,2,107,35,2026-01-01
343,18,3,93,87,2026-01-01
344,18,4,33,60,2026-01-01
345,18,5,353,32,2026-01-01
346,18,6,379,42,2026-01-01
347,18,7,187,24,2026-01-01
348,18,8,108,84,2026-01-01
349,18,9,220,47,2026-01-01
350,18,10,364,58,2026-01-01
351,18,11,41,64,2026-01-01
352,18,12,199,97,2026-01-01
353,18,13,420,64,2026-01-01
354,18,14,161,92,2026-01-01
355,18,15,472,74,2026-01-01
356,18,16,28,24,2026-01-01
357,18,17,442,33,2026-01-01
358,18,18,218,54,2026-01-01
359,18,19,311,63,2026-01-01
360,18,20,445,87,2026-01-01
361,19,1,159,70,2026-01-01
362,19,2,396,91,2026-01-01
363,19,3,462,70,2026-01-01
364,19,4,415,88,2026-01-01
365,19,5,441,39,2026-01-01
366,19,6,192,32,2026-01-01
367,19,7,369,24,2026-01-01
368,19,8,280,26,2026-01-01
369,19,9,316,74,2026-01-01
370,19,10,450,27,2026-01-01
371,19,11,429,26,2026-01-01
372,19,12,219,100,2026-01-01
373,19,13,123,76,2026-01-01
374,19,14,94,63,2026-01-01
375,19,15,307,92,2026-01-01
376,19,16,231,53,2026-01-01
377,19,17,482,20,2026-01-01
378,19,18,459,58,2026-01-01
379,19,19,457,39,2026-01-01
380,19,20,418,80,2026-01-01
381,20,1,277,98,2026-01-01
382,20,2,357,97,2026-01-01
383,20,3,40,58,2026-01-01
384,20,4,82,86,2026-01-01
385,20,5,477,82,2026-01-01
386,20,6,290,37,2026-01-01
387,20,7,481,25,2026-01-01
388,20,8,373,80,2026-01-01
389,20,9,482,80,2026-01-01
390,20,10,355,50,2026-01-01
391,20,11,108,38,2026-01-01
392,20,12,269,98,2026-01-01
393,20,13,32,72,2026-01-01
394,20,14,120,72,2026-01-01
395,20,15,248,70,2026-01-01
396,20,16,391,51,2026-01-01
397,20,17,373,47,2026-01-01
398,20,18,434,79,2026-01-01
399,20,19,430,53,2026-01-01
400,20,20,50,91,2026-01-01
401,21,1,50,21,2026-01-01
402,21,2,257,45,2026-01-01
403,21,3,347,83,2026-01-01
404,21,4,217,61,2026-01-01
405,21,5,489,83,2026-01-01
406,21,6,198,53,2026-01-01
407,21,7,9,59,2026-01-01
408,21,8,259,79,2026-01-01
409,21,9,400,69,2026-01-01
410,21,10,147,61,2026-01-01
411,21,11,292,77,2026-01-01
412,21,12,29,94,2026-01-01
413,21,13,365,21,2026-01-01
414,21,14,468,67,2026-01-01
415,21,15,64,44,2026-01-01
416,21,16,497,65,2026-01-01
417,21,17,64,64,2026-01-01
418,21,18,183,34,2026-01-01
419,21,19,268,75,2026-01-01
420,21,20,246,32,2026-01-01
421,22,1,152,56,2026-01-01
422,22,2,166,35,2026-01-01
423,22,3,360,85,2026-01-01
424,22,4,297,39,2026-01-01
425,22,5,334,46,2026-01-01
426,22,6,180,28,2026-01-01
427,22,7,341,98,2026-01-01
428,22,8,135,66,2026-01-01
429,22,9,164,68,2026-01-01
430,22,10,383,32,2026-01-01
431,22,11,469,86,2026-01-01
432,22,12,29,88,2026-01-01
433,22,13,389,44,2026-01-01
434,22,14,395,34,2026-01-01
435,22,15,390,84,2026-01-01
436,22,16,393,35,2026-01-01
437,22,17,111,62,2026-01-01
438,22,18,309,23,2026-01-01
439,22,19,281,88,2026-01-01
440,22,20,295,29,2026-01-01
441,23,1,87,90,2026-01-01
442,23,2,397,85,2026-01-01
443,23,3,334,62,2026-01-01
444,23,4,223,40,2026-01-01
445,23,5,380,57,2026-01-01
446,23,6,15,25,2026-01-01
447,23,7,72,75,2026-01-01
448,23,8,130,96,2026-01-01
449,23,9,3,59,2026-01-01
450,23,10,225,43,2026-01-01
451,23,11,124,36,2026-01-01
452,23,12,165,44,2026-01-01
453,23,13,165,22,2026-01-01
454,23,14,338,24,2026-01-01
455,23,15,212,81,2026-01-01
456,23,16,324,64,2026-01-01
457,23,17,80,63,2026-01-01
458,23,18,107,49,2026-01-01
459,23,19,148,66,2026-01-01
460,23,20,372,23,2026-01-01
461,24,1,123,20,2026-01-01
462,24,2,124,37,2026-01-01
463,24,3,24,21,2026-01-01
464,24,4,380,84,2026-01-01
465,24,5,366,73,2026-01-01
466,24,6,227,35,2026-01-01
467,24,7,60,51,2026-01-01
468,24,8,215,89,2026-01-01
469,24,9,407,86,2026-01-01
470,24,10,143,53,2026-01-01
471,24,11,339,23,2026-01-01
472,24,12,444,27,2026-01-01
473,24,13,210,59,2026-01-01
474,24,14,417,59,2026-01-01
475,24,15,129,23,2026-01-01
476,24,16,433,66,2026-01-01
477,24,17,446,45,2026-01-01
478,24,18,498,39,2026-01-01
479,24,19,337,55,2026-01-01
480,24,20,359,76,2026-01-01
481,25,1,467,62,2026-01-01
482,25,2,362,53,2026-01-01
483,25,3,53,64,2026-01-01
484,25,4,356,68,2026-01-01
485,25,5,367,77,2026-01-01
486,25,6,343,70,2026-01-01
487,25,7,433,69,2026-01-01
488,25,8,80,98,2026-01-01
489,25,9,63,98,2026-01-01
490,25,10,39,69,2026-01-01
491,25,11,87,71,2026-01-01
492,25,12,31,73,2026-01-01
493,25,13,485,34,2026-01-01
494,25,14,339,81,2026-01-01
495,25,15,466,35,2026-01-01
496,25,16,282,98,2026-01-01
497,25,17,235,95,2026-01-01
498,25,18,161,22,2026-01-01
499,25,19,433,26,2026-01-01
500,25,20,133,85,2026-01-01
501,26,1,476,59,2026-01-01
502,26,2,186,56,2026-01-01
503,26,3,83,36,2026-01-01
504,26,4,467,91,2026-01-01
505,26,5,204,95,2026-01-01
506,26,6,13,92,2026-01-01
507,26,7,291,53,2026-01-01
508,26,8,332,42,2026-01-01
509,26,9,253,56,2026-01-01
510,26,10,36,84,2026-01-01
511,26,11,113,46,2026-01-01
512,26,12,392,65,2026-01-01
513,26,13,280,46,2026-01-01
514,26,14,320,41,2026-01-01
515,26,15,312,33,2026-01-01
516,26,16,422,77,2026-01-01
517,26,17,164,63,2026-01-01
518,26,18,365,44,2026-01-01
519,26,19,183,78,2026-01-01
520,26,20,382,72,2026-01-01
521,27,1,82,71,2026-01-01
522,27,2,359,32,2026-01-01
523,27,3,442,100,2026-01-01
524,27,4,425,30,2026-01-01
525,27,5,416,69,2026-01-01
526,27,6,313,77,2026-01-01
527,27,7,74,85,2026-01-01
528,27,8,152,72,2026-01-01
529,27,9,172,22,2026-01-01
530,27,10,284,40,2026-01-01
531,27,11,212,74,2026-01-01
532,27,12,171,44,2026-01-01
533,27,13,422,86,2026-01-01
534,27,14,115,20,2026-01-01
535,27,15,46,54,2026-01-01
536,27,16,290,35,2026-01-01
537,27,17,154,84,2026-01-01
538,27,18,353,31,2026-01-01
539,27,19,149,62,2026-01-01
540,27,20,323,22,2026-01-01
541,28,1,473,91,2026-01-01
542,28,2,369,41,2026-01-01
543,28,3,90,56,2026-01-01
544,28,4,288,70,2026-01-01
545,28,5,44,84,2026-01-01
546,28,6,491,56,2026-01-01
547,28,7,85,78,2026-01-01
548,28,8,492,61,2026-01-01
549,28,9,233,95,2026-01-01
550,28,10,429,54,2026-01-01
551,28,11,85,99,2026-01-01
552,28,12,260,38,2026-01-01
553,28,13,421,22,2026-01-01
554,28,14,40,94,2026-01-01
555,28,15,447,48,2026-01-01
556,28,16,290,98,2026-01-01
557,28,17,471,90,2026-01-01
558,28,18,293,96,2026-01-01
559,28,19,474,90,2026-01-01
560,28,20,329,76,2026-01-01
561,29,1,208,95,2026-01-01
562,29,2,139,47,2026-01-01
563,29,3,484,47,2026-01-01
564,29,4,274,89,2026-01-01
565,29,5,478,44,2026-01-01
566,29,6,375,83,2026-01-01
567,29,7,389,67,2026-01-01
568,29,8,216,48,2026-01-01
569,29,9,491,56,2026-01-01
570,29,10,240,48,2026-01-01
571,29,11,201,30,2026-01-01
572,29,12,2,21,2026-01-01
573,29,13,463,28,2026-01-01
574,29,14,26,40,2026-01-01
575,29,15,331,97,2026-01-01
576,29,16,89,63,2026-01-01
577,29,17,450,66,2026-01-01
578,29,18,474,40,2026-01-01
579,29,19,445,26,2026-01-01
580,29,20,308,73,2026-01-01
581,30,1,167,50,2026-01-01
582,30,2,57,62,2026-01-01
583,30,3,353,56,2026-01-01
584,30,4,386,85,2026-01-01
585,30,5,173,98,2026-01-01
586,30,6,450,90,2026-01-01
587,30,7,142,39,2026-01-01
588,30,8,9,31,2026-01-01
589,30,9,211,51,2026-01-01
590,30,10,438,56,2026-01-01
591,30,11,311,56,2026-01-01
592,30,12,33,80,2026-01-01
593,30,13,263,76,2026-01-01
594,30,14,27,27,2026-01-01
595,30,15,343,43,2026-01-01
596,30,16,28,49,2026-01-01
597,30,17,226,96,2026-01-01
598,30,18,180,78,2026-01-01
599,30,19,302,32,2026-01-01
600,30,20,37,90,2026-01-01
601,31,1,467,37,2026-01-01
602,31,2,219,50,2026-01-01
603,31,3,301,94,2026-01-01
604,31,4,51,95,2026-01-01
605,31,5,316,67,2026-01-01
606,31,6,355,96,2026-01-01
607,31,7,77,28,2026-01-01
608,31,8,464,47,2026-01-01
609,31,9,99,72,2026-01-01
610,31,10,261,58,2026-01-01
611,31,11,450,82,2026-01-01
612,31,12,162,26,2026-01-01
613,31,13,49,29,2026-01-01
614,31,14,189,86,2026-01-01
615,31,15,14,37,2026-01-01
616,31,16,294,67,2026-01-01
617,31,17,202,97,2026-01-01
618,31,18,230,51,2026-01-01
619,31,19,493,64,2026-01-01
620,31,20,356,45,2026-01-01
621,32,1,440,28,2026-01-01
622,32,2,421,94,2026-01-01
623,32,3,300,41,2026-01-01
624,32,4,238,21,2026-01-01
625,32,5,197,31,2026-01-01
626,32,6,485,80,2026-01-01
627,32,7,326,38,2026-01-01
628,32,8,182,78,2026-01-01
629,32,9,298,27,2026-01-01
630,32,10,258,54,2026-01-01
631,32,11,100,94,2026-01-01
632,32,12,22,34,2026-01-01
633,32,13,439,54,2026-01-01
634,32,14,7,47,2026-01-01
635,32,15,42,93,2026-01-01
636,32,16,469,66,2026-01-01
637,32,17,167,28,2026-01-01
638,32,18,315,34,2026-01-01
639,32,19,456,63,2026-01-01
640,32,20,89,44,2026-01-01
641,33,1,392,52,2026-01-01
642,33,2,72,97,2026-01-01
643,33,3,496,67,2026-01-01
644,33,4,219,60,2026-01-01
645,33,5,417,46,2026-01-01
646,33,6,395,79,2026-01-01
647,33,7,320,66,2026-01-01
648,33,8,100,46,2026-01-01
649,33,9,498,89,2026-01-01
650,33,10,484,87,2026-01-01
651,33,11,251,68,2026-01-01
652,33,12,258,94,2026-01-01
653,33,13,296,50,2026-01-01
654,33,14,5,90,2026-01-01
655,33,15,461,84,2026-01-01
656,33,16,132,68,2026-01-01
657,33,17,424,94,2026-01-01
658,33,18,486,48,2026-01-01
659,33,19,114,26,2026-01-01
660,33,20,240,47,2026-01-01
661,34,1,496,57,2026-01-01
662,34,2,491,28,2026-01-01
663,34,3,437,47,2026-01-01
664,34,4,468,65,2026-01-01
665,34,5,80,43,2026-01-01
666,34,6,125,39,2026-01-01
667,34,7,113,62,2026-01-01
668,34,8,449,72,2026-01-01
669,34,9,319,48,2026-01-01
670,34,10,269,74,2026-01-01
671,34,11,385,71,2026-01-01
672,34,12,455,81,2026-01-01
673,34,13,273,49,2026-01-01
674,34,14,112,59,2026-01-01
675,34,15,106,34,2026-01-01
676,34,16,247,58,2026-01-01
677,34,17,109,24,2026-01-01
678,34,18,482,78,2026-01-01
679,34,19,217,69,2026-01-01
680,34,20,286,27,2026-01-01
681,35,1,461,91,2026-01-01
682,35,2,178,81,2026-01-01
683,35,3,40,50,2026-01-01
684,35,4,96,83,2026-01-01
685,35,5,347,76,2026-01-01
686,35,6,214,85,2026-01-01
687,35,7,308,22,2026-01-01
688,35,8,270,66,2026-01-01
689,35,9,178,30,2026-01-01
690,35,10,178,27,2026-01-01
691,35,11,34,99,2026-01-01
692,35,12,138,29,2026-01-01
693,35,13,272,69,2026-01-01
694,35,14,408,48,2026-01-01
695,35,15,84,65,2026-01-01
696,35,16,333,79,2026-01-01
697,35,17,154,64,2026-01-01
698,35,18,119,85,2026-01-01
699,35,19,364,50,2026-01-01
700,35,20,186,86,2026-01-01
701,36,1,254,35,2026-01-01
702,36,2,447,52,2026-01-01
703,36,3,319,84,2026-01-01
704,36,4,310,98,2026-01-01
705,36,5,326,31,2026-01-01
706,36,6,477,96,2026-01-01
707,36,7,237,56,2026-01-01
708,36,8,247,52,2026-01-01
709,36,9,300,76,2026-01-01
710,36,10,27,69,2026-01-01
711,36,11,151,20,2026-01-01
712,36,12,44,40,2026-01-01
713,36,13,416,94,2026-01-01
714,36,14,279,70,2026-01-01
715,36,15,81,22,2026-01-01
716,36,16,322,78,2026-01-01
717,36,17,193,92,2026-01-01
718,36,18,143,24,2026-01-01
719,36,19,408,24,2026-01-01
720,36,20,237,71,2026-01-01
721,37,1,223,45,2026-01-01
722,37,2,393,34,2026-01-01
723,37,3,276,64,2026-01-01
724,37,4,477,65,2026-01-01
725,37,5,122,78,2026-01-01
726,37,6,295,24,2026-01-01
727,37,7,477,58,2026-01-01
728,37,8,471,29,2026-01-01
729,37,9,29,37,2026-01-01
730,37,10,100,38,2026-01-01
731,37,11,333,85,2026-01-01
732,37,12,294,31,2026-01-01
733,37,13,319,82,2026-01-01
734,37,14,396,77,2026-01-01
735,37,15,43,66,2026-01-01
736,37,16,334,38,2026-01-01
737,37,17,491,28,2026-01-01
738,37,18,129,23,2026-01-01
739,37,19,461,78,2026-01-01
740,37,20,127,53,2026-01-01
741,38,1,195,75,2026-01-01
742,38,2,14,41,2026-01-01
743,38,3,182,44,2026-01-01
744,38,4,278,93,2026-01-01
745,38,5,225,59,2026-01-01
746,38,6,245,69,2026-01-01
747,38,7,176,41,2026-01-01
748,38,8,264,32,2026-01-01
749,38,9,479,51,2026-01-01
750,38,10,40,30,2026-01-01
751,38,11,265,56,2026-01-01
752,38,12,334,98,2026-01-01
753,38,13,208,24,2026-01-01
754,38,14,240,87,2026-01-01
755,38,15,175,70,2026-01-01
756,38,16,250,24,2026-01-01
757,38,17,260,100,2026-01-01
758,38,18,203,77,2026-01-01
759,38,19,104,42,2026-01-01
760,38,20,207,85,2026-01-01
761,39,1,272,77,2026-01-01
762,39,2,375,26,2026-01-01
763,39,3,9,89,2026-01-01
764,39,4,365,23,2026-01-01
765,39,5,374,42,2026-01-01
766,39,6,79,40,2026-01-01
767,39,7,398,62,2026-01-01
768,39,8,234,25,2026-01-01
769,39,9,276,53,2026-01-01
770,39,10,132,25,2026-01-01
771,39,11,117,89,2026-01-01
772,39,12,412,52,2026-01-01
773,39,13,77,38,2026-01-01
774,39,14,204,81,2026-01-01
775,39,15,204,20,2026-01-01
776,39,16,230,52,2026-01-01
777,39,17,88,49,2026-01-01
778,39,18,493,100,2026-01-01
779,39,19,448,89,2026-01-01
780,39,20,22,31,2026-01-01
781,40,1,48,59,2026-01-01
782,40,2,228,29,2026-01-01
783,40,3,319,43,2026-01-01
784,40,4,438,41,2026-01-01
785,40,5,30,67,2026-01-01
786,40,6,157,20,2026-01-01
787,40,7,153,89,2026-01-01
788,40,8,495,65,2026-01-01
789,40,9,402,30,2026-01-01
790,40,10,58,51,2026-01-01
791,40,11,56,65,2026-01-01
792,40,12,245,97,2026-01-01
793,40,13,476,70,2026-01-01
794,40,14,385,76,2026-01-01
795,40,15,472,98,2026-01-01
796,40,16,181,34,2026-01-01
797,40,17,225,25,2026-01-01
798,40,18,422,76,2026-01-01
799,40,19,306,76,2026-01-01
800,40,20,337,73,2026-01-01
801,41,1,292,69,2026-01-01
802,41,2,459,38,2026-01-01
803,41,3,34,23,2026-01-01
804,41,4,253,52,2026-01-01
805,41,5,122,22,2026-01-01
806,41,6,115,24,2026-01-01
807,41,7,64,48,2026-01-01
808,41,8,288,33,2026-01-01
809,41,9,38,37,2026-01-01
810,41,10,283,55,2026-01-01
811,41,11,139,96,2026-01-01
812,41,12,318,59,2026-01-01
813,41,13,496,57,2026-01-01
814,41,14,5,51,2026-01-01
815,41,15,133,40,2026-01-01
816,41,16,57,51,2026-01-01
817,41,17,340,59,2026-01-01
818,41,18,116,50,2026-01-01
819,41,19,303,35,2026-01-01
