return_id,order_id,product_id,quantity,return_reason,return_status,return_date
47,4754.0,313.0,4.0,Damaged Product,Pending,2025-07-03
48,3129.0,237.0,3.0,Damaged Product,Rejected,2025-06-29
49,621.0,976.0,4.0,Damaged Product,Pending,2025-10-27
50,2177.0,544.0,3.0,Not as Described,Approved,2025-11-15
51,5967.0,201.0,4.0,Not as Described,Rejected,2025-08-12
52,6187.0,281.0,5.0,Wrong Item Delivered,Approved,2026-03-08
53,2468.0,113.0,1.0,Customer Changed Mind,Pending,2026-05-16
54,8785.0,187.0,4.0,Wrong Item Delivered,Pending,2026-04-12
55,8288.0,855.0,1.0,Quality Issue,Rejected,2025-08-16
56,6663.0,66.0,4.0,Customer Changed Mind,Pending,2025-11-16
57,5770.0,465.0,2.0,Quality Issue,Pending,2025-11-15
58,9446.0,252.0,5.0,Wrong Item Delivered,Rejected,2026-05-17
59,3091.0,743.0,3.0,Customer Changed Mind,Approved,2026-02-10
60,1350.0,259.0,1.0,Damaged Product,Pending,2026-05-11
61,9559.0,438.0,1.0,Damaged Product,Approved,2026-02-25
62,8153.0,738.0,4.0,Wrong Item Delivered,Approved,2025-12-02
63,8501.0,680.0,5.0,Wrong Item Delivered,Approved,2025-11-26
64,1428.0,73.0,1.0,Wrong Item Delivered,Rejected,2026-04-23
65,5348.0,939.0,3.0,Customer Changed Mind,Pending,2026-03-27
66,6763.0,220.0,3.0,Customer Changed Mind,Pending,2026-05-12
67,1250.0,304.0,2.0,Damaged Product,Rejected,2025-08-10
68,2186.0,593.0,1.0,Quality Issue,Pending,2026-02-03
69,3196.0,881.0,1.0,Quality Issue,Pending,2026-04-10
70,3372.0,730.0,3.0,Not as Described,Rejected,2026-03-24
71,5492.0,858.0,3.0,Wrong Item Delivered,Approved,2025-11-01
72,1127.0,889.0,5.0,Wrong Item Delivered,Pending,2025-07-04
73,3801.0,775.0,5.0,Wrong Item Delivered,Rejected,2026-03-16
74,1474.0,893.0,2.0,Quality Issue,Rejected,2025-10-07
75,7404.0,925.0,1.0,Wrong Item Delivered,Rejected,2025-08-22
76,9885.0,77.0,5.0,Wrong Item Delivered,Approved,2025-11-19
77,9534.0,957.0,5.0,Not as Described,Approved,2026-04-02
78,9425.0,949.0,3.0,Quality Issue,Approved,2026-01-31
79,2562.0,947.0,1.0,Not as Described,Rejected,2025-11-12
80,6142.0,17.0,5.0,Customer Changed Mind,Pending,2025-12-26
81,7362.0,931.0,4.0,Not as Described,Rejected,2025-10-26
82,9568.0,938.0,1.0,Quality Issue,Rejected,2025-06-21
83,4611.0,942.0,3.0,Wrong Item Delivered,Approved,2025-08-30
84,9204.0,115.0,3.0,Customer Changed Mind,Approved,2025-07-26
85,4153.0,379.0,1.0,Wrong Item Delivered,Approved,2026-03-26
86,3503.0,381.0,3.0,Customer Changed Mind,Pending,2025-11-09
87,3245.0,848.0,1.0,Damaged Product,Pending,2025-05-29
88,4109.0,521.0,4.0,Damaged Product,Pending,2025-09-28
89,1042.0,582.0,5.0,Not as Described,Approved,2026-02-26
90,9775.0,43.0,5.0,Quality Issue,Rejected,2025-11-03
91,7059.0,176.0,5.0,Customer Changed Mind,Approved,2025-10-12
92,2241.0,706.0,3.0,Customer Changed Mind,Approved,2025-08-22
93,4837.0,660.0,3.0,Customer Changed Mind,Approved,2025-09-30
94,6312.0,629.0,5.0,Damaged Product,Pending,2025-07-16
95,4486.0,762.0,5.0,Not as Described,Rejected,2026-03-28
96,2470.0,318.0,5.0,Not as Described,Rejected,2025-12-29
97,9641.0,53.0,2.0,Not as Described,Approved,2025-10-07
98,5263.0,703.0,3.0,Customer Changed Mind,Approved,2025-10-22
99,2142.0,793.0,3.0,Not as Described,Pending,2026-02-02
100,2022.0,8.0,1.0,Customer Changed Mind,Approved,2025-09-14
101,3029.0,177.0,3.0,Quality Issue,Rejected,2025-12-15
102,1497.0,548.0,3.0,Quality Issue,Rejected,2025-08-04
103,9079.0,793.0,2.0,Quality Issue,Rejected,2026-03-10
104,300.0,693.0,4.0,Not as Described,Approved,2025-08-28
105,8667.0,649.0,1.0,Quality Issue,Approved,2026-03-12
106,9305.0,529.0,3.0,Quality Issue,Approved,2025-12-27
107,5550.0,868.0,1.0,Quality Issue,Pending,2026-02-19
108,342.0,590.0,5.0,Wrong Item Delivered,Rejected,2026-02-24
109,9667.0,881.0,3.0,Not as Described,Rejected,2025-11-16
110,209.0,343.0,3.0,Customer Changed Mind,Approved,2025-07-08
111,6501.0,353.0,2.0,Damaged Product,Rejected,2025-10-18
112,2960.0,519.0,5.0,Customer Changed Mind,Pending,2025-10-29
113,1248.0,960.0,5.0,Not as Described,Rejected,2026-01-27
114,5755.0,833.0,1.0,Wrong Item Delivered,Approved,2026-02-23
115,7700.0,234.0,2.0,Damaged Product,Approved,2025-11-17
116,2979.0,88.0,2.0,Damaged Product,Rejected,2026-04-17
117,3715.0,768.0,5.0,Customer Changed Mind,Rejected,2026-04-29
118,7071.0,278.0,5.0,Customer Changed Mind,Rejected,2026-05-16
119,1447.0,748.0,3.0,Damaged Product,Pending,2025-12-08
120,7707.0,473.0,4.0,Not as Described,Rejected,2025-06-01
121,567.0,957.0,5.0,Damaged Product,Approved,2025-11-28
122,4560.0,316.0,5.0,Wrong Item Delivered,Pending,2026-01-10
123,6829.0,437.0,4.0,Wrong Item Delivered,Pending,2025-10-27
124,9245.0,969.0,2.0,Not as Described,Approved,2026-03-09
125,4259.0,111.0,5.0,Customer Changed Mind,Pending,2026-05-06
126,6916.0,286.0,2.0,Customer Changed Mind,Rejected,2026-02-26
127,7414.0,273.0,5.0,Quality Issue,Rejected,2026-02-26
128,7440.0,857.0,5.0,Quality Issue,Pending,2026-03-14
129,1969.0,32.0,1.0,Not as Described,Approved,2025-12-03
130,461.0,976.0,4.0,Wrong Item Delivered,Rejected,2025-06-19
131,6026.0,408.0,4.0,Not as Described,Approved,2025-08-29
132,7549.0,294.0,1.0,Not as Described,Pending,2025-06-25
133,4341.0,687.0,5.0,Not as Described,Approved,2026-02-17
134,1603.0,515.0,2.0,Wrong Item Delivered,Approved,2025-12-18
135,2192.0,989.0,5.0,Wrong Item Delivered,Pending,2025-11-20
136,7198.0,605.0,2.0,Damaged Product,Approved,2025-07-23
137,8921.0,534.0,5.0,Damaged Product,Pending,2025-07-18
138,7621.0,197.0,2.0,Wrong Item Delivered,Approved,2025-10-28
139,3118.0,559.0,5.0,Wrong Item Delivered,Pending,2025-06-24
140,8970.0,883.0,5.0,Quality Issue,Approved,2025-09-14
141,4147.0,296.0,1.0,Not as Described,Pending,2025-07-18
142,8418.0,501.0,3.0,Not as Described,Rejected,2025-10-13
143,7215.0,102.0,3.0,Quality Issue,Approved,2025-06-29
144,3512.0,336.0,4.0,Damaged Product,Approved,2025-12-03
145,6510.0,769.0,2.0,Quality Issue,Approved,2026-02-10
146,6793.0,83.0,4.0,Customer Changed Mind,Pending,2026-04-27
147,7224.0,412.0,4.0,Quality Issue,Rejected,2025-12-20
148,8150.0,595.0,1.0,Customer Changed Mind,Rejected,2025-05-31
149,2198.0,69.0,4.0,Not as Described,Approved,2026-02-03
150,5821.0,991.0,3.0,Damaged Product,Rejected,2026-04-08
151,1303.0,853.0,5.0,Wrong Item Delivered,Rejected,2026-03-14
152,6716.0,268.0,5.0,Customer Changed Mind,Rejected,2025-10-19
153,1056.0,305.0,3.0,Damaged Product,Pending,2025-10-11
154,7062.0,550.0,5.0,Customer Changed Mind,Pending,2026-04-01
155,2575.0,342.0,5.0,Damaged Product,Rejected,2026-04-11
156,1934.0,54.0,4.0,Customer Changed Mind,Pending,2025-12-22
157,3893.0,414.0,4.0,Damaged Product,Approved,2025-06-05
158,8597.0,969.0,2.0,Not as Described,Pending,2026-03-18
159,2102.0,329.0,2.0,Customer Changed Mind,Approved,2025-11-09
160,7813.0,572.0,5.0,Customer Changed Mind,Approved,2026-02-12
161,4556.0,598.0,5.0,Quality Issue,Rejected,2026-03-07
162,7046.0,150.0,2.0,Wrong Item Delivered,Rejected,2025-07-03
163,6339.0,917.0,5.0,Customer Changed Mind,Pending,2026-02-14
164,2107.0,103.0,1.0,Wrong Item Delivered,Pending,2025-11-13
165,3166.0,721.0,3.0,Customer Changed Mind,Approved,2025-11-17
166,2397.0,885.0,5.0,Quality Issue,Approved,2026-02-07
167,2081.0,734.0,5.0,Customer Changed Mind,Pending,2026-05-08
168,9442.0,86.0,1.0,Customer Changed Mind,Pending,2025-07-25
169,4197.0,94.0,4.0,Quality Issue,Rejected,2025-09-11
170,289.0,724.0,1.0,Wrong Item Delivered,Pending,2026-03-05
171,8427.0,889.0,3.0,Quality Issue,Pending,2025-08-15
172,7171.0,465.0,2.0,Quality Issue,Approved,2026-01-09
173,197.0,173.0,1.0,Not as Described,Rejected,2026-03-15
174,3246.0,925.0,5.0,Damaged Product,Pending,2026-01-15
175,7559.0,526.0,4.0,Wrong Item Delivered,Rejected,2026-01-12
176,1394.0,986.0,4.0,Wrong Item Delivered,Pending,2025-09-27
177,1461.0,605.0,3.0,Not as Described,Pending,2025-10-28
178,1788.0,521.0,5.0,Not as Described,Approved,2025-09-18
179,5387.0,108.0,5.0,Wrong Item Delivered,Approved,2025-08-09
180,4252.0,914.0,4.0,Wrong Item Delivered,Rejected,2026-03-30
181,2051.0,177.0,4.0,Not as Described,Rejected,2026-04-25
182,9930.0,384.0,1.0,Wrong Item Delivered,Rejected,2025-12-02
183,8797.0,64.0,5.0,Not as Described,Approved,2025-06-06
184,3447.0,370.0,4.0,Quality Issue,Rejected,2025-06-16
185,4776.0,765.0,4.0,Customer Changed Mind,Approved,2025-07-25
186,2511.0,147.0,5.0,Wrong Item Delivered,Pending,2025-09-08
187,3163.0,527.0,5.0,Not as Described,Approved,2025-08-02
188,769.0,414.0,2.0,Not as Described,Approved,2025-09-07
189,4195.0,174.0,3.0,Quality Issue,Rejected,2025-07-29
190,1684.0,547.0,3.0,Wrong Item Delivered,Pending,2026-01-24
191,4238.0,350.0,1.0,Wrong Item Delivered,Approved,2025-10-11
192,651.0,690.0,5.0,Wrong Item Delivered,Approved,2025-07-19
193,3255.0,439.0,3.0,Customer Changed Mind,Rejected,2025-09-05
194,785.0,851.0,2.0,Wrong Item Delivered,Pending,2025-06-02
195,5149.0,659.0,4.0,Not as Described,Pending,2025-09-18
196,1937.0,664.0,5.0,Wrong Item Delivered,Approved,2026-01-06
197,870.0,155.0,3.0,Damaged Product,Approved,2025-07-27
198,9428.0,690.0,3.0,Quality Issue,Pending,2025-08-11
199,3726.0,559.0,5.0,Damaged Product,Approved,2026-02-15
200,2929.0,703.0,2.0,Not as Described,Rejected,2026-01-04
201,4112.0,933.0,4.0,Quality Issue,Approved,2026-02-25
202,96.0,332.0,4.0,Not as Described,Pending,2026-04-27
203,1532.0,81.0,5.0,Quality Issue,Pending,2025-08-20
204,2366.0,80.0,5.0,Customer Changed Mind,Pending,2026-01-07
205,2490.0,185.0,2.0,Not as Described,Approved,2025-08-26
206,3385.0,938.0,3.0,Wrong Item Delivered,Approved,2025-07-20
207,846.0,4.0,5.0,Customer Changed Mind,Rejected,2026-05-04
208,5867.0,659.0,4.0,Damaged Product,Approved,2025-11-23
209,3196.0,562.0,2.0,Damaged Product,Rejected,2026-02-18
210,3746.0,211.0,4.0,Quality Issue,Rejected,2025-07-17
211,8434.0,831.0,4.0,Customer Changed Mind,Approved,2026-04-04
212,4711.0,557.0,1.0,Customer Changed Mind,Pending,2025-08-10
213,2301.0,240.0,5.0,Quality Issue,Pending,2025-07-20
214,5720.0,590.0,3.0,Damaged Product,Approved,2025-06-02
215,2760.0,647.0,4.0,Customer Changed Mind,Rejected,2025-06-22
216,5055.0,248.0,2.0,Damaged Product,Pending,2026-03-26
217,5424.0,622.0,4.0,Not as Described,Approved,2025-06-21
218,7149.0,583.0,4.0,Damaged Product,Approved,2025-07-29
219,7736.0,550.0,2.0,Wrong Item Delivered,Pending,2025-05-31
220,9738.0,465.0,4.0,Customer Changed Mind,Approved,2026-03-14
221,6712.0,368.0,4.0,Customer Changed Mind,Rejected,2025-09-02
222,7648.0,747.0,3.0,Customer Changed Mind,Pending,2025-12-07
223,3744.0,272.0,2.0,Customer Changed Mind,Rejected,2025-12-28
224,4036.0,306.0,2.0,Wrong Item Delivered,Rejected,2026-03-15
225,6526.0,935.0,5.0,Quality Issue,Rejected,2025-07-22
226,8440.0,25.0,4.0,Quality Issue,Pending,2026-02-27
227,3962.0,910.0,5.0,Wrong Item Delivered,Pending,2025-11-10
228,3378.0,740.0,3.0,Not as Described,Pending,2025-09-09
229,6150.0,447.0,2.0,Not as Described,Pending,2025-09-04
230,8327.0,969.0,5.0,Quality Issue,Pending,2025-10-28
231,7028.0,27.0,3.0,Wrong Item Delivered,Approved,2025-09-11
232,6854.0,38.0,3.0,Wrong Item Delivered,Pending,2025-10-09
233,4552.0,579.0,3.0,Quality Issue,Pending,2026-01-30
234,8259.0,421.0,1.0,Damaged Product,Pending,2026-05-04
235,1773.0,515.0,2.0,Customer Changed Mind,Rejected,2025-09-14
236,5106.0,430.0,2.0,Quality Issue,Approved,2026-04-09
237,8696.0,202.0,4.0,Not as Described,Pending,2025-06-25
238,8938.0,758.0,1.0,Wrong Item Delivered,Approved,2025-11-07
239,9649.0,787.0,3.0,Customer Changed Mind,Approved,2026-01-17
240,5282.0,710.0,5.0,Not as Described,Rejected,2026-02-26
241,8644.0,171.0,2.0,Quality Issue,Pending,2025-07-15
242,3600.0,151.0,1.0,Wrong Item Delivered,Approved,2026-03-01
243,8192.0,841.0,1.0,Damaged Product,Pending,2025-08-19
244,3356.0,250.0,1.0,Wrong Item Delivered,Pending,2025-12-29
245,1991.0,562.0,5.0,Customer Changed Mind,Approved,2026-03-20
246,8741.0,783.0,2.0,Damaged Product,Approved,2025-10-27
247,8893.0,148.0,3.0,Customer Changed Mind,Rejected,2026-02-15
248,8619.0,647.0,1.0,Customer Changed Mind,Approved,2025-12-19
249,9621.0,262.0,4.0,Wrong Item Delivered,Approved,2025-11-02
250,2731.0,105.0,3.0,Wrong Item Delivered,Rejected,2026-03-26
251,2739.0,799.0,3.0,Quality Issue,Pending,2026-01-06
252,7691.0,115.0,2.0,Damaged Product,Rejected,2026-04-16
253,6159.0,297.0,3.0,Not as Described,Pending,2026-01-20
254,3585.0,912.0,1.0,Wrong Item Delivered,Pending,2026-03-31
255,2702.0,490.0,5.0,Customer Changed Mind,Rejected,2026-04-03
256,3903.0,470.0,2.0,Wrong Item Delivered,Pending,2026-05-15
257,997.0,409.0,1.0,Wrong Item Delivered,Approved,2025-06-16
258,5297.0,387.0,2.0,Quality Issue,Rejected,2025-07-26
259,7529.0,978.0,5.0,Quality Issue,Approved,2025-08-14
260,8358.0,257.0,3.0,Quality Issue,Rejected,2025-08-28
261,8253.0,828.0,4.0,Wrong Item Delivered,Pending,2025-11-17
262,5287.0,440.0,4.0,Damaged Product,Pending,2025-11-27
263,3051.0,800.0,2.0,Wrong Item Delivered,Pending,2025-09-28
264,3549.0,396.0,4.0,Wrong Item Delivered,Pending,2026-01-19
265,7284.0,740.0,5.0,Not as Described,Approved,2026-03-20
266,5098.0,420.0,2.0,Not as Described,Rejected,2025-10-04
267,6627.0,965.0,4.0,Customer Changed Mind,Approved,2025-12-12
268,948.0,193.0,2.0,Quality Issue,Rejected,2025-07-28
269,9286.0,225.0,3.0,Not as Described,Pending,2026-04-30
270,1056.0,560.0,4.0,Quality Issue,Rejected,2025-08-31
271,8121.0,969.0,2.0,Wrong Item Delivered,Approved,2026-05-08
272,2769.0,58.0,5.0,Not as Described,Pending,2025-12-19
273,715.0,226.0,2.0,Not as Described,Approved,2026-04-20
274,1189.0,252.0,4.0,Quality Issue,Pending,2025-10-28
275,9711.0,135.0,4.0,Customer Changed Mind,Approved,2025-11-26
276,7328.0,520.0,1.0,Not as Described,Approved,2025-06-15
277,5242.0,331.0,5.0,Quality Issue,Pending,2025-09-26
278,3396.0,345.0,1.0,Customer Changed Mind,Pending,2026-01-16
279,7210.0,139.0,5.0,Quality Issue,Pending,2025-11-21
280,9096.0,993.0,3.0,Wrong Item Delivered,Pending,2026-01-19
281,202.0,479.0,3.0,Quality Issue,Approved,2025-10-27
282,3512.0,399.0,5.0,Not as Described,Approved,2026-05-02
283,8212.0,584.0,1.0,Quality Issue,Approved,2025-12-16
284,5633.0,53.0,2.0,Wrong Item Delivered,Pending,2025-08-25
285,3662.0,550.0,3.0,Customer Changed Mind,Rejected,2026-04-17
286,4058.0,647.0,5.0,Customer Changed Mind,Pending,2026-01-08
287,9353.0,405.0,4.0,Not as Described,Pending,2026-05-14
288,7028.0,151.0,5.0,Quality Issue,Rejected,2025-12-06
289,9845.0,82.0,1.0,Damaged Product,Rejected,2026-04-24
290,7905.0,420.0,4.0,Not as Described,Approved,2026-02-03
291,8697.0,579.0,3.0,Customer Changed Mind,Approved,2025-06-02
292,8493.0,469.0,4.0,Not as Described,Approved,2026-01-29
293,1616.0,660.0,3.0,Wrong Item Delivered,Rejected,2025-12-26
294,5325.0,306.0,2.0,Quality Issue,Pending,2026-01-27
295,5998.0,500.0,5.0,Not as Described,Pending,2025-07-27
296,1714.0,31.0,5.0,Customer Changed Mind,Approved,2025-11-11
297,8339.0,852.0,4.0,Quality Issue,Rejected,2025-11-05
298,8909.0,975.0,2.0,Damaged Product,Rejected,2025-10-09
299,6274.0,298.0,2.0,Quality Issue,Pending,2025-12-07
300,4716.0,996.0,1.0,Wrong Item Delivered,Approved,2025-06-03
301,8567.0,216.0,5.0,Wrong Item Delivered,Approved,2026-02-11
302,3060.0,490.0,3.0,Not as Described,Approved,2025-05-26
303,9658.0,283.0,3.0,Quality Issue,Approved,2025-12-17
304,9537.0,87.0,4.0,Damaged Product,Approved,2025-09-26
305,9430.0,575.0,3.0,Wrong Item Delivered,Approved,2025-06-28
306,4764.0,701.0,4.0,Damaged Product,Approved,2025-06-24
307,4191.0,352.0,3.0,Damaged Product,Rejected,2026-01-26
308,4869.0,620.0,4.0,Wrong Item Delivered,Approved,2025-06-10
309,5679.0,974.0,1.0,Wrong Item Delivered,Approved,2025-06-29
310,3054.0,967.0,5.0,Customer Changed Mind,Approved,2026-05-13
311,3815.0,873.0,3.0,Not as Described,Rejected,2025-10-23
312,3273.0,423.0,3.0,Not as Described,Rejected,2025-10-30
313,5778.0,355.0,1.0,Customer Changed Mind,Rejected,2025-10-28
314,150.0,329.0,1.0,Quality Issue,Rejected,2026-03-12
315,1870.0,996.0,2.0,Wrong Item Delivered,Rejected,2026-01-14
316,2440.0,315.0,1.0,Quality Issue,Approved,2025-08-20
317,8825.0,971.0,5.0,Quality Issue,Approved,2025-07-05
318,6807.0,42.0,2.0,Quality Issue,Rejected,2025-05-27
319,7369.0,685.0,3.0,Not as Described,Rejected,2025-07-29
320,4314.0,740.0,3.0,Quality Issue,Rejected,2026-04-03
321,1020.0,925.0,4.0,Not as Described,Pending,2025-08-25
322,5961.0,540.0,1.0,Customer Changed Mind,Rejected,2026-04-25
323,5752.0,720.0,4.0,Customer Changed Mind,Approved,2026-02-23
324,5372.0,830.0,1.0,Wrong Item Delivered,Pending,2025-06-09
325,6819.0,633.0,2.0,Damaged Product,Approved,2025-11-25
326,7430.0,885.0,1.0,Quality Issue,Rejected,2025-10-07
327,9596.0,557.0,5.0,Quality Issue,Approved,2026-03-28
328,7973.0,470.0,2.0,Quality Issue,Pending,2025-09-26
329,4525.0,585.0,1.0,Not as Described,Pending,2025-07-03
330,4038.0,649.0,4.0,Damaged Product,Approved,2026-02-15
331,2117.0,422.0,2.0,Customer Changed Mind,Approved,2025-06-11
332,4010.0,345.0,3.0,Damaged Product,Approved,2026-04-25
333,9360.0,181.0,2.0,Not as Described,Rejected,2026-02-07
334,1030.0,503.0,5.0,Customer Changed Mind,Pending,2026-03-10
335,5130.0,22.0,1.0,Customer Changed Mind,Approved,2025-06-27
336,9599.0,416.0,2.0,Not as Described,Rejected,2025-09-19
337,934.0,190.0,2.0,Quality Issue,Rejected,2026-03-31
338,495.0,538.0,1.0,Wrong Item Delivered,Pending,2025-11-30
339,2664.0,402.0,4.0,Quality Issue,Rejected,2026-03-15
340,3542.0,52.0,1.0,Not as Described,Rejected,2026-04-27
341,4939.0,391.0,2.0,Customer Changed Mind,Rejected,2026-01-29
342,4041.0,368.0,1.0,Quality Issue,Pending,2025-09-05
343,218.0,2.0,4.0,Damaged Product,Rejected,2026-01-12
344,2422.0,485.0,3.0,Quality Issue,Rejected,2025-09-27
345,3614.0,673.0,5.0,Customer Changed Mind,Rejected,2025-11-09
346,7244.0,781.0,1.0,Customer Changed Mind,Rejected,2025-11-19
347,4807.0,806.0,3.0,Wrong Item Delivered,Pending,2025-09-11
348,3864.0,217.0,4.0,Damaged Product,Approved,2025-12-16
349,5006.0,808.0,3.0,Quality Issue,Pending,2025-12-14
350,5174.0,898.0,2.0,Damaged Product,Pending,2026-04-02
351,2621.0,744.0,4.0,Not as Described,Pending,2025-08-19
352,6257.0,434.0,3.0,Quality Issue,Rejected,2025-12-17
353,9475.0,706.0,2.0,Customer Changed Mind,Pending,2025-12-12
354,4080.0,292.0,5.0,Wrong Item Delivered,Pending,2025-11-04
355,8419.0,541.0,1.0,Wrong Item Delivered,Rejected,2026-03-17
356,9148.0,839.0,3.0,Customer Changed Mind,Approved,2025-08-08
357,7442.0,739.0,2.0,Wrong Item Delivered,Rejected,2026-03-01
358,5550.0,651.0,5.0,Not as Described,Rejected,2025-09-18
359,6633.0,291.0,1.0,Quality Issue,Pending,2025-12-13
360,1036.0,487.0,4.0,Not as Described,Approved,2026-01-10
361,367.0,856.0,2.0,Customer Changed Mind,Pending,2025-08-29
362,3817.0,458.0,2.0,Damaged Product,Rejected,2025-11-28
363,876.0,346.0,4.0,Wrong Item Delivered,Approved,2026-02-11
364,4844.0,820.0,2.0,Customer Changed Mind,Rejected,2026-03-07
365,3587.0,478.0,4.0,Not as Described,Rejected,2026-04-02
366,2020.0,482.0,1.0,Not as Described,Approved,2026-01-21
367,8661.0,346.0,2.0,Quality Issue,Pending,2025-11-02
368,3777.0,856.0,4.0,Damaged Product,Pending,2025-06-08
369,9289.0,788.0,5.0,Not as Described,Approved,2025-07-31
370,463.0,141.0,1.0,Quality Issue,Pending,2025-09-21
371,5736.0,547.0,1.0,Quality Issue,Pending,2025-12-09
372,334.0,351.0,4.0,Quality Issue,Pending,2025-06-08
373,7583.0,772.0,3.0,Quality Issue,Pending,2025-11-02
374,7394.0,658.0,1.0,Customer Changed Mind,Rejected,2025-07-21
375,7706.0,672.0,2.0,Damaged Product,Approved,2025-08-05
376,9598.0,839.0,4.0,Damaged Product,Pending,2025-10-07
377,2179.0,737.0,1.0,Damaged Product,Pending,2025-08-17
378,7166.0,475.0,5.0,Wrong Item Delivered,Pending,2025-10-21
379,4746.0,469.0,2.0,Not as Described,Pending,2025-05-31
380,318.0,779.0,5.0,Not as Described,Approved,2026-02-23
381,6649.0,368.0,1.0,Damaged Product,Rejected,2025-08-12
382,724.0,843.0,4.0,Wrong Item Delivered,Pending,2025-09-24
383,1841.0,88.0,3.0,Wrong Item Delivered,Pending,2025-12-24
384,2003.0,221.0,1.0,Customer Changed Mind,Pending,2025-12-29
385,5208.0,123.0,5.0,Quality Issue,Rejected,2025-07-24
386,9311.0,396.0,2.0,Quality Issue,Rejected,2026-03-11
387,56.0,863.0,4.0,Damaged Product,Approved,2025-08-01
388,1440.0,656.0,3.0,Quality Issue,Pending,2026-02-20
389,9435.0,417.0,2.0,Quality Issue,Rejected,2026-04-25
390,5018.0,212.0,2.0,Not as Described,Pending,2026-01-03
391,4713.0,408.0,3.0,Not as Described,Approved,2025-11-21
392,9202.0,916.0,5.0,Wrong Item Delivered,Pending,2025-12-14
393,8480.0,34.0,4.0,Wrong Item Delivered,Rejected,2025-09-02
394,1536.0,716.0,4.0,Wrong Item Delivered,Rejected,2025-12-25
395,3929.0,272.0,5.0,Quality Issue,Approved,2025-08-31
396,8843.0,972.0,3.0,Customer Changed Mind,Approved,2026-04-14
397,207.0,665.0,5.0,Customer Changed Mind,Pending,2025-07-15
398,5026.0,839.0,3.0,Quality Issue,Rejected,2026-02-23
399,3916.0,325.0,3.0,Quality Issue,Rejected,2025-06-08
400,5622.0,293.0,4.0,Not as Described,Rejected,2025-09-28
401,152.0,288.0,3.0,Quality Issue,Pending,2025-06-26
402,9192.0,249.0,4.0,Quality Issue,Pending,2025-09-02
403,1263.0,782.0,1.0,Customer Changed Mind,Approved,2025-07-03
404,8360.0,328.0,2.0,Not as Described,Rejected,2025-09-14
