payment_id,order_id,customer_id,payment_method,payment_status,payment_amount,payment_date
173,173,650,Net Banking,Pending,1028.73,2025-07-25 04:27:56
174,174,996,Credit Card,Failed,3145.61,2025-01-25 19:48:00
175,175,157,Cash,Success,2123.54,2026-02-04 05:02:45
176,176,398,UPI,Failed,1383.3,2025-05-24 04:20:20
177,177,361,Debit Card,Success,1839.57,2025-12-06 00:11:58
178,178,914,Net Banking,Success,3661.18,2026-01-09 04:43:46
179,179,109,Debit Card,Pending,2529.6,2026-02-20 05:40:22
180,180,694,Net Banking,Success,762.23,2025-08-11 00:45:16
181,181,546,UPI,Failed,2348.85,2025-03-07 02:58:09
182,182,689,Net Banking,Success,1912.8,2025-12-19 18:45:10
183,183,268,Debit Card,Success,911.01,2024-12-12 03:03:03
184,184,976,Cash,Success,1444.76,2025-02-23 22:26:39
185,185,373,Cash,Failed,1251.33,2025-09-11 16:50:12
186,186,499,Credit Card,Success,1749.56,2024-05-27 13:26:36
187,187,136,UPI,Pending,2088.42,2025-05-09 18:12:30
188,188,487,Credit Card,Pending,1583.56,2025-12-23 06:33:11
189,189,576,Credit Card,Failed,2215.83,2026-04-14 03:33:06
190,190,228,Net Banking,Failed,1974.68,2024-06-05 17:53:46
191,191,252,Debit Card,Pending,3018.46,2025-05-20 11:44:01
192,192,413,UPI,Pending,3295.98,2025-07-19 17:51:40
193,193,348,Cash,Failed,2978.32,2025-03-02 00:48:40
194,194,689,Cash,Pending,199.43,2024-10-21 01:13:50
195,195,172,Net Banking,Pending,3782.86,2025-03-06 04:39:33
196,196,376,UPI,Success,86.66,2025-06-12 08:05:34
197,197,731,Net Banking,Failed,3076.89,2024-10-07 11:52:42
198,198,391,Cash,Success,705.39,2025-02-06 08:47:30
199,199,572,Debit Card,Failed,2261.38,2025-10-21 10:17:54
200,200,61,Debit Card,Success,4686.51,2026-05-21 10:48:05
201,201,822,Net Banking,Failed,1624.88,2025-01-26 20:12:53
202,202,552,Debit Card,Failed,2422.39,2025-05-18 02:12:02
203,203,352,Net Banking,Failed,1711.14,2025-04-16 03:17:30
204,204,126,Debit Card,Success,855.53,2024-10-22 06:51:49
205,205,263,Debit Card,Failed,3395.22,2024-08-05 03:03:51
206,206,648,Cash,Failed,4711.71,2026-02-17 23:02:42
207,207,38,Cash,Pending,973.66,2026-02-08 15:20:59
208,208,34,Net Banking,Pending,959.79,2024-12-18 16:48:53
209,209,308,UPI,Failed,2412.94,2025-04-28 23:05:33
210,210,556,UPI,Pending,1358.86,2025-08-16 11:08:56
211,211,257,UPI,Success,3591.5,2026-05-25 13:47:07
212,212,921,Cash,Success,1471.54,2025-08-09 08:58:09
213,213,902,Cash,Success,736.94,2024-07-03 03:45:45
214,214,861,Cash,Pending,751.7,2025-04-19 12:07:01
215,215,185,Debit Card,Pending,2969.91,2024-06-04 04:19:19
216,216,555,Debit Card,Success,124.23,2025-11-11 01:51:58
217,217,252,UPI,Pending,804.32,2024-06-24 06:15:28
218,218,500,Debit Card,Pending,2275.75,2025-08-26 22:50:05
219,219,275,Debit Card,Success,4978.6,2026-01-19 08:01:41
220,220,425,Credit Card,Pending,1857.76,2026-01-24 15:56:10
221,221,476,UPI,Pending,3118.4,2025-09-09 13:48:16
222,222,469,Cash,Failed,1646.49,2026-04-05 06:21:09
223,223,905,Net Banking,Pending,2869.57,2026-01-03 07:32:27
224,224,359,UPI,Pending,809.52,2025-08-30 08:13:32
225,225,350,Cash,Pending,4263.64,2025-10-23 09:39:55
226,226,2,Cash,Success,2881.27,2024-10-22 02:42:27
227,227,234,Debit Card,Success,2605.96,2024-12-04 14:12:47
228,228,862,Debit Card,Failed,295.06,2025-09-08 11:46:32
229,229,481,Net Banking,Success,2079.34,2025-08-31 02:53:44
230,230,512,Debit Card,Pending,4236.62,2024-10-31 04:58:02
231,231,967,UPI,Failed,988.16,2025-11-26 21:35:24
232,232,388,Net Banking,Success,3004.55,2026-03-14 03:24:04
233,233,779,Credit Card,Failed,108.6,2025-09-11 08:09:29
234,234,507,Debit Card,Pending,2688.86,2025-04-17 04:01:29
235,235,976,Cash,Pending,4038.85,2024-10-12 17:40:12
236,236,831,UPI,Pending,1495.83,2025-02-14 14:43:34
237,237,27,Cash,Failed,3984.62,2025-04-28 00:44:17
238,238,953,Debit Card,Pending,4057.66,2024-08-16 16:47:24
239,239,116,Cash,Success,161.91,2025-11-12 02:44:52
240,240,123,UPI,Success,2955.15,2025-12-18 07:55:47
241,241,334,Net Banking,Pending,1593.17,2025-07-22 09:59:55
242,242,5,Debit Card,Failed,547.03,2026-01-24 05:59:19
243,243,523,Cash,Pending,3699.16,2025-05-10 14:01:35
244,244,114,UPI,Success,1440.34,2024-08-14 20:06:42
245,245,960,Cash,Pending,4886.62,2026-04-11 13:04:28
246,246,195,UPI,Failed,291.69,2025-11-01 01:55:01
247,247,20,Net Banking,Pending,4233.96,2024-08-04 04:23:37
248,248,166,Credit Card,Success,2920.59,2025-07-18 02:11:12
249,249,114,Cash,Success,691.37,2025-07-21 12:21:04
250,250,754,Debit Card,Success,2953.93,2025-12-04 19:28:29
251,251,666,Credit Card,Pending,3691.28,2024-09-23 09:02:44
252,252,810,Debit Card,Success,3209.72,2024-11-22 08:39:59
253,253,474,Credit Card,Success,1365.6,2025-01-07 20:50:01
254,254,604,Credit Card,Success,2128.22,2025-01-15 10:10:48
255,255,729,Debit Card,Success,3306.0,2024-07-19 14:43:38
256,256,577,Cash,Pending,3384.37,2026-02-10 06:23:21
257,257,561,Debit Card,Failed,1398.9,2024-07-12 17:00:44
258,258,165,Credit Card,Failed,4965.35,2025-08-12 02:26:34
259,259,784,Net Banking,Success,4900.74,2026-04-06 17:21:30
260,260,866,UPI,Success,1317.85,2024-10-21 01:42:15
261,261,23,Net Banking,Failed,1649.08,2026-01-03 18:06:15
262,262,427,Cash,Pending,2865.56,2025-10-15 06:07:34
263,263,909,Credit Card,Pending,3396.58,2025-12-24 16:37:34
264,264,9,Debit Card,Failed,2412.71,2025-07-31 09:26:01
265,265,198,Debit Card,Pending,2240.86,2026-03-18 03:42:56
266,266,156,UPI,Success,4411.89,2025-02-01 10:20:08
267,267,448,Cash,Failed,171.56,2025-09-09 11:51:59
268,268,881,Debit Card,Success,4552.35,2024-06-14 10:16:25
269,269,655,Net Banking,Failed,4069.81,2025-05-04 02:22:50
270,270,801,Cash,Success,4724.21,2026-01-10 12:39:11
271,271,1000,Debit Card,Success,1166.45,2025-12-12 18:51:02
272,272,358,Debit Card,Failed,640.86,2025-06-04 19:11:30
273,273,330,Debit Card,Failed,1568.81,2024-10-23 08:12:05
274,274,85,Debit Card,Pending,643.72,2025-01-23 14:51:11
275,275,611,Net Banking,Failed,3142.52,2024-09-17 13:13:28
276,276,924,Credit Card,Success,4336.87,2025-12-26 15:27:12
277,277,31,Debit Card,Failed,3383.26,2025-03-27 16:31:53
278,278,491,UPI,Success,350.84,2025-10-11 09:48:02
279,279,510,Cash,Pending,4841.59,2024-07-23 01:19:58
280,280,850,UPI,Success,3951.22,2025-03-30 11:12:13
281,281,986,Cash,Pending,2785.94,2026-05-04 07:47:31
282,282,712,UPI,Failed,3360.29,2025-07-16 23:59:21
283,283,936,Cash,Failed,560.12,2024-10-08 04:43:23
284,284,674,Net Banking,Failed,466.62,2026-02-26 22:41:39
285,285,450,Debit Card,Success,3709.81,2025-04-18 15:47:39
286,286,809,Cash,Failed,3614.7,2025-05-06 17:28:41
287,287,969,UPI,Failed,43.43,2025-01-13 08:44:30
288,288,540,Credit Card,Failed,192.62,2025-06-02 06:51:01
289,289,62,Debit Card,Success,2159.26,2026-04-02 10:43:05
290,290,279,Credit Card,Success,126.01,2025-07-23 23:55:03
291,291,596,UPI,Success,3072.9,2025-04-20 03:18:29
292,292,540,Credit Card,Failed,4079.68,2025-01-21 12:23:09
293,293,978,Debit Card,Pending,457.2,2026-02-04 03:10:26
294,294,478,Debit Card,Failed,632.69,2025-07-27 01:51:35
295,295,417,Credit Card,Failed,4621.02,2024-06-29 16:56:13
296,296,683,Credit Card,Failed,3541.73,2026-01-11 06:03:25
297,297,353,Credit Card,Failed,1761.46,2025-07-22 03:01:41
298,298,343,Credit Card,Failed,659.94,2024-12-10 16:36:46
299,299,869,Credit Card,Failed,4296.63,2025-04-09 19:04:58
300,300,958,Net Banking,Success,3090.21,2025-08-20 12:12:33
301,301,430,Debit Card,Pending,2512.06,2025-09-10 08:00:28
302,302,332,Net Banking,Pending,2365.59,2026-04-05 15:59:17
303,303,31,Net Banking,Success,783.91,2026-02-12 00:27:13
304,304,161,Debit Card,Success,3842.95,2025-09-23 07:00:28
305,305,370,Credit Card,Pending,4347.13,2025-12-21 21:30:46
306,306,244,Credit Card,Success,3785.57,2024-09-14 15:24:33
307,307,164,Debit Card,Pending,766.0,2026-02-02 05:17:09
308,308,90,Net Banking,Failed,4670.11,2025-07-08 09:10:50
309,309,774,Debit Card,Failed,4442.77,2025-04-14 15:56:19
310,310,368,UPI,Pending,4726.03,2026-05-07 01:47:04
311,311,322,Debit Card,Failed,3800.79,2024-07-29 12:24:10
312,312,20,Credit Card,Failed,1419.49,2026-02-03 15:42:21
313,313,722,Debit Card,Success,4249.17,2025-08-23 07:01:28
314,314,328,UPI,Failed,4719.38,2025-09-16 02:10:30
315,315,597,Debit Card,Pending,4475.14,2025-05-30 19:02:11
316,316,44,UPI,Failed,297.52,2024-08-05 09:08:33
317,317,918,Net Banking,Success,2762.03,2025-01-22 15:53:01
318,318,654,Cash,Success,739.22,2025-06-16 20:43:00
319,319,756,Cash,Success,3426.53,2026-01-14 07:00:02
320,320,864,Credit Card,Failed,4193.49,2025-03-22 02:18:45
321,321,295,Debit Card,Failed,517.97,2025-12-15 01:16:11
322,322,501,Credit Card,Success,1509.25,2025-03-26 21:38:38
323,323,553,Credit Card,Success,1250.54,2026-04-01 06:09:18
324,324,638,Cash,Failed,2637.1,2026-04-17 16:15:21
325,325,633,Net Banking,Pending,532.68,2025-07-13 18:52:37
326,326,820,UPI,Pending,2353.09,2025-10-10 05:10:04
327,327,7,Net Banking,Pending,2233.8,2024-12-05 21:25:01
328,328,804,Debit Card,Pending,2420.98,2025-10-12 06:23:45
329,329,943,UPI,Success,636.76,2025-11-27 06:07:13
330,330,209,Cash,Failed,2179.41,2025-05-26 21:28:19
331,331,802,Debit Card,Pending,2622.91,2025-08-01 18:02:52
332,332,985,UPI,Success,3238.72,2025-10-30 05:47:33
333,333,450,Credit Card,Success,480.71,2026-01-15 18:25:00
334,334,446,UPI,Failed,3846.07,2026-05-08 00:54:56
335,335,571,Debit Card,Pending,4167.75,2024-07-16 21:08:36
336,336,113,UPI,Success,1717.0,2026-05-13 08:13:17
337,337,190,Net Banking,Success,676.45,2026-02-09 23:48:50
338,338,339,Net Banking,Success,2136.58,2025-11-18 18:34:02
339,339,879,Credit Card,Pending,1659.45,2024-11-28 02:33:22
340,340,283,Credit Card,Failed,1305.87,2024-08-04 22:49:19
341,341,545,Credit Card,Failed,1953.02,2024-07-28 15:30:21
342,342,122,Debit Card,Pending,354.91,2025-08-28 02:26:24
343,343,342,Credit Card,Pending,2772.48,2024-10-18 22:32:33
344,344,886,Cash,Failed,1593.89,2024-08-26 09:00:09
345,345,319,UPI,Failed,141.6,2025-09-09 04:18:59
346,346,516,Credit Card,Failed,3337.98,2025-12-05 12:48:13
347,347,2,Cash,Failed,1503.21,2025-01-25 08:27:22
348,348,999,Net Banking,Failed,3191.04,2026-03-17 10:36:42
349,349,813,UPI,Pending,1393.2,2026-02-08 19:28:27
350,350,338,Credit Card,Pending,3355.49,2026-04-27 03:07:59
351,351,668,Cash,Pending,4542.22,2026-02-08 01:36:54
352,352,893,Debit Card,Failed,3745.52,2025-04-12 05:40:25
353,353,205,Cash,Pending,2481.48,2025-01-08 03:11:53
354,354,764,Net Banking,Success,4175.14,2025-07-13 21:05:50
355,355,390,Cash,Pending,4712.01,2024-09-25 18:36:49
356,356,484,Cash,Failed,4913.67,2025-07-06 13:15:07
357,357,747,UPI,Failed,495.26,2024-06-14 15:20:29
358,358,95,Net Banking,Pending,474.55,2024-11-19 06:04:21
359,359,1,Cash,Failed,2835.38,2025-05-31 08:12:02
360,360,382,Credit Card,Pending,1261.53,2025-04-30 11:54:28
361,361,712,Net Banking,Pending,2957.29,2024-09-20 21:28:55
362,362,414,Net Banking,Failed,2312.26,2024-10-28 23:23:38
363,363,405,UPI,Pending,4164.09,2024-10-29 13:39:19
364,364,274,Debit Card,Failed,423.59,2025-10-29 16:44:30
365,365,590,Net Banking,Failed,1862.99,2025-06-19 03:54:41
366,366,294,Debit Card,Failed,866.29,2024-10-25 13:56:12
367,367,149,Cash,Failed,713.13,2026-05-25 09:20:31
368,368,223,Debit Card,Pending,3181.27,2024-12-30 14:16:09
369,369,322,Debit Card,Failed,240.13,2026-05-19 15:20:26
370,370,280,Credit Card,Success,4194.47,2026-04-15 23:43:26
371,371,233,Credit Card,Success,184.41,2025-12-31 02:54:09
372,372,697,Net Banking,Failed,4167.91,2024-06-03 18:58:25
373,373,202,Debit Card,Success,4215.81,2024-12-07 08:28:23
374,374,715,UPI,Pending,3543.83,2025-08-24 04:16:54
375,375,505,Debit Card,Pending,3696.22,2026-01-10 17:47:42
376,376,22,Cash,Success,572.84,2025-05-01 07:56:36
377,377,713,Credit Card,Pending,4161.25,2025-07-11 07:21:35
378,378,573,Net Banking,Pending,1495.03,2025-09-26 02:16:34
379,379,264,Debit Card,Failed,514.54,2026-04-07 12:18:44
380,380,432,Cash,Pending,4511.46,2024-09-14 18:01:56
381,381,859,UPI,Success,4318.42,2024-10-24 21:09:14
382,382,523,Net Banking,Success,4749.27,2026-01-09 17:02:46
383,383,191,Debit Card,Pending,2238.27,2025-01-22 22:03:40
384,384,637,UPI,Success,198.27,2025-12-01 05:58:10
385,385,314,Cash,Failed,2874.91,2024-08-15 20:26:23
386,386,192,Net Banking,Pending,4546.7,2025-09-18 05:10:46
387,387,101,Credit Card,Success,3947.37,2024-11-06 07:04:41
388,388,360,Net Banking,Success,3109.26,2025-10-06 13:36:38
389,389,745,Credit Card,Pending,1158.26,2025-05-19 18:54:23
390,390,676,Debit Card,Pending,2008.28,2025-03-29 07:47:29
391,391,192,Cash,Success,1643.14,2025-02-24 03:49:52
392,392,645,UPI,Pending,1992.21,2026-05-05 14:26:17
393,393,236,Net Banking,Pending,1229.68,2024-06-23 11:42:13
394,394,396,UPI,Failed,1166.57,2024-07-15 16:46:12
395,395,218,Debit Card,Failed,2587.9,2025-06-16 18:04:45
396,396,792,Credit Card,Pending,4759.3,2026-03-20 19:02:55
397,397,224,Credit Card,Failed,2587.73,2024-12-28 21:06:43
398,398,284,Cash,Pending,434.96,2026-02-06 22:47:23
399,399,681,UPI,Pending,4292.63,2024-07-17 01:58:16
400,400,545,Credit Card,Pending,1295.34,2025-04-24 03:20:50
401,401,807,Net Banking,Pending,3059.87,2026-01-20 20:09:42
402,402,787,Debit Card,Failed,737.41,2025-06-25 22:35:55
403,403,1000,UPI,Success,4469.32,2024-11-01 20:00:02
404,404,412,UPI,Pending,4435.43,2025-06-02 04:36:08
405,405,147,UPI,Success,2179.0,2025-03-13 11:44:27
406,406,917,Debit Card,Failed,154.5,2026-01-19 23:01:35
407,407,315,Cash,Success,2448.5,2024-07-19 06:56:27
408,408,278,UPI,Failed,855.37,2024-06-16 02:32:49
409,409,801,UPI,Failed,3186.97,2025-03-01 22:01:02
410,410,428,UPI,Pending,4387.43,2025-12-23 13:55:10
411,411,229,Debit Card,Failed,2101.03,2025-09-10 08:16:20
412,412,824,Net Banking,Failed,3591.33,2024-06-01 16:57:21
413,413,677,Net Banking,Failed,1686.94,2024-07-21 23:49:48
414,414,740,Debit Card,Success,355.27,2024-06-24 05:06:34
415,415,360,Credit Card,Success,2816.21,2025-02-09 21:51:00
416,416,929,Cash,Success,3810.74,2025-03-24 16:36:14
417,417,1,UPI,Failed,2968.0,2025-07-30 03:07:09
418,418,199,Cash,Pending,98.56,2026-02-14 18:54:02
419,419,458,Credit Card,Failed,1413.22,2025-10-05 23:19:18
420,420,775,Net Banking,Success,2918.92,2026-01-08 06:28:44
421,421,872,UPI,Success,2356.49,2025-11-22 10:39:40
422,422,698,UPI,Failed,1461.09,2024-09-10 23:55:59
423,423,783,Debit Card,Success,560.17,2026-04-06 23:55:47
424,424,954,Cash,Failed,1973.55,2026-04-29 00:53:50
425,425,428,UPI,Success,1959.9,2024-07-25 23:40:38
426,426,529,Debit Card,Pending,3117.82,2024-09-13 07:54:30
